Report Type,Total Sales,Total Transactions
12am,112,8
1am,14,1
2am,28,2
3am,182,13
4am,126,9
5am,28,2
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,0,0
11am,136,8
12pm,54,3
1pm,208,14
2pm,286,20
3pm,415,28
4pm,622,42
5pm,687,47
6pm,1220,86
7pm,903,62
8pm,795,56
9pm,600,42
10pm,306,21
11pm,238,17
Total,6960,481
