Report Type,Total Sales,Total Transactions
12am,32,2
1am,28,2
2am,14,1
3am,0,0
4am,0,0
5am,0,0
6am,0,0
7am,0,0
8am,6,1
9am,36,4
10am,70,6
11am,66,5
12pm,64,6
1pm,78,9
2pm,500,39
3pm,340,26
4pm,342,25
5pm,422,31
6pm,466,34
7pm,474,34
8pm,300,21
9pm,94,6
10pm,196,14
11pm,46,3
Total,3574,269
