Report Type,Total Sales,Total Transactions
12am,70,5
1am,20,1
2am,0,0
3am,0,0
4am,0,0
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,18,1
11am,42,3
12pm,77,5
1pm,296,19
2pm,401,25
3pm,295,20
4pm,377,26
5pm,366,24
6pm,558,34
7pm,449,29
8pm,589,41
9pm,409,28
10pm,267,17
11pm,158,10
Total,4392,288
