Report Type,Total Sales,Total Transactions
12am,239,16
1am,140,10
2am,149,8
3am,14,1
4am,28,2
5am,0,0
6am,28,2
7am,0,0
8am,0,0
9am,0,0
10am,0,0
11am,0,0
12pm,0,0
1pm,124,8
2pm,199,14
3pm,123,8
4pm,225,16
5pm,191,13
6pm,534,37
7pm,902,62
8pm,517,34
9pm,544,36
10pm,233,17
11pm,374,24
Total,4564,308
