Report Type,Total Sales,Total Transactions
12am,34,2
1am,40,2
2am,80,4
3am,100,5
4am,0,0
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,0,0
11am,0,0
12pm,104,7
1pm,102,6
2pm,150,11
3pm,284,19
4pm,418,28
5pm,316,22
6pm,296,20
7pm,348,24
8pm,210,14
9pm,282,17
10pm,122,7
11pm,68,4
Total,2954,192
