Report Type,Total Sales,Total Transactions
12am,14,1
1am,42,3
2am,42,3
3am,0,0
4am,0,0
5am,0,0
6am,28,2
7am,0,0
8am,0,0
9am,0,0
10am,0,0
11am,0,0
12pm,56,4
1pm,56,4
2pm,0,0
3pm,14,1
4pm,70,5
5pm,154,11
6pm,84,6
7pm,70,5
8pm,140,10
9pm,84,6
10pm,56,4
11pm,0,0
Total,910,65
