Report Type,Total Sales,Total Transactions
12am,172,10
1am,76,5
2am,0,0
3am,0,0
4am,14,1
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,38,2
10am,58,3
11am,76,4
12pm,286,16
1pm,240,13
2pm,450,26
3pm,542,32
4pm,432,29
5pm,676,41
6pm,892,56
7pm,826,49
8pm,522,33
9pm,396,25
10pm,256,15
11pm,290,18
Total,6242,378
