Report Type,Total Sales,Total Transactions
12am,347,25
1am,25,1
2am,98,7
3am,14,1
4am,0,0
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,24,2
11am,90,6
12pm,118,8
1pm,149,9
2pm,168,11
3pm,472,32
4pm,338,24
5pm,448,32
6pm,414,29
7pm,180,12
8pm,108,7
9pm,294,21
10pm,380,26
11pm,148,11
Total,3815,264
