Report Type,Total Sales,Total Vends
12am,145.7,9
1am,325.16,20
2am,379.22,25
3am,106.64,8
4am,13.33,1
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,28.98,2
10am,28.98,2
11am,14.49,1
12pm,187.56,14
1pm,260.88,18
2pm,350.96,25
3pm,457.05,35
4pm,380.13,27
5pm,409.77,30
6pm,356.25,27
7pm,332.04,22
8pm,209.19,13
9pm,276.19,16
10pm,133.53,9
11pm,61.15,4
Total,4457.2,308
