Report Type,Total Sales,Total Vends
12am,194,15
1am,70,5
2am,84,7
3am,46,3
4am,12,1
5am,0,0
6am,0,0
7am,0,0
8am,20,1
9am,0,0
10am,20,1
11am,20,1
12pm,94,5
1pm,74,5
2pm,218,16
3pm,259,19
4pm,116,6
5pm,286,22
6pm,458,32
7pm,585,39
8pm,338,26
9pm,180,14
10pm,379,28
11pm,292,19
Total,3745,265
