Report Type,Total Sales,Total Vends
12am,68.81,5
1am,70.86,6
2am,90.9,7
3am,221.24,17
4am,124.29,9
5am,197.24,15
6am,97.14,8
7am,0,0
8am,0,0
9am,0,0
10am,0,0
11am,58.04,5
12pm,39,3
1pm,228.14,15
2pm,219.58,17
3pm,226.86,17
4pm,270.52,21
5pm,381.89,26
6pm,517.27,35
7pm,444.95,36
8pm,342.25,25
9pm,468.09,36
10pm,210.29,17
11pm,340.2,24
Total,4617.56,344
