Report Type,Total Sales,Total Vends
12am,0,0
1am,0,0
2am,0,0
3am,0,0
4am,0,0
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,28.57,2
11am,66.67,6
12pm,0,0
1pm,0,0
2pm,64.76,6
3pm,113.31,10
4pm,227.55,22
5pm,106.63,11
6pm,171.43,12
7pm,28.56,3
8pm,95.23,9
9pm,0,0
10pm,9.52,1
11pm,0,0
Total,912.23,82
