Report Type,Total Sales,Total Vends
12am,23.81,1
1am,71.43,3
2am,0,0
3am,26.66,2
4am,0,0
5am,13.33,1
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,0,0
11am,13.33,1
12pm,0,0
1pm,26.66,2
2pm,0,0
3pm,37.14,2
4pm,26.66,2
5pm,13.33,1
6pm,77.13,5
7pm,13.33,1
8pm,26.66,2
9pm,93.31,7
10pm,79.98,6
11pm,117.12,8
Total,659.88,44
