Report Type,Total Sales,Total Vends
12am,276.59,19
1am,258.73,19
2am,339.95,24
3am,229.49,17
4am,80.94,6
5am,28.58,2
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,47.62,4
11am,114.28,9
12pm,308.93,22
1pm,321.6,24
2pm,390.85,29
3pm,451.62,33
4pm,273.7,19
5pm,413.33,30
6pm,388.92,26
7pm,245.22,18
8pm,341.71,24
9pm,322.3,24
10pm,241.34,17
11pm,351.89,24
Total,5427.59,390
