Report Type,Total Sales,Total Vends
12am,73.33,5
1am,13.33,1
2am,9.52,1
3am,19.04,2
4am,46.67,4
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,28.98,2
11am,42.87,3
12pm,28.98,2
1pm,224.87,15
2pm,148.25,10
3pm,171.32,12
4pm,237.36,19
5pm,301.38,21
6pm,206.14,14
7pm,329.56,25
8pm,412.42,32
9pm,305.87,26
10pm,208.5,20
11pm,89.53,5
Total,2897.92,219
