Report Type,Total Sales,Total Vends
12am,104,7
1am,168,12
2am,44,3
3am,32,2
4am,34,2
5am,0,0
6am,0,0
7am,0,0
8am,0,0
9am,0,0
10am,36,3
11am,106,9
12pm,138,10
1pm,376,27
2pm,320,24
3pm,586,39
4pm,714,52
5pm,1670,125
6pm,1274,91
7pm,970,70
8pm,416,29
9pm,352,26
10pm,348,26
11pm,118,8
Total,7806,565
