Report Type,Total Sales,Total Vends
12am,302,24
1am,96,8
2am,74,6
3am,52,4
4am,16,1
5am,0,0
6am,0,0
7am,10,1
8am,0,0
9am,0,0
10am,0,0
11am,0,0
12pm,96,5
1pm,50,4
2pm,388,27
3pm,430,29
4pm,366,26
5pm,830,66
6pm,1012,72
7pm,958,71
8pm,640,51
9pm,338,27
10pm,178,15
11pm,498,37
Total,6334,474
