Report Type,Total Sales,Total Vends
12am,242.82,20
1am,40,2
2am,82.86,7
3am,107.43,6
4am,83.81,4
5am,12,1
6am,0,0
7am,0,0
8am,0,0
9am,42.87,3
10am,59.06,4
11am,149.55,9
12pm,240.02,16
1pm,161.91,12
2pm,389.75,30
3pm,542.59,42
4pm,589.27,46
5pm,1604.83,133
6pm,963.78,82
7pm,1466.93,124
8pm,1175.24,98
9pm,1585.51,138
10pm,930.03,77
11pm,439.18,41
Total,10909.44,895
