Report Type,Total Sales,Total Vends
12am,137.17,10
1am,165.73,10
2am,145.74,10
3am,115.24,8
4am,104.76,7
5am,26.66,2
6am,0,0
7am,0,0
8am,14.29,1
9am,0,0
10am,40.21,3
11am,42.87,3
12pm,427.16,27
1pm,267.53,19
2pm,682.24,46
3pm,496.7,32
4pm,469.07,33
5pm,825.57,55
6pm,607.93,40
7pm,369.61,26
8pm,204.26,14
9pm,212.63,15
10pm,300.05,20
11pm,240.99,17
Total,5896.41,398
