kind,amount,dt,msg,fee,balance,category
Gebyr,60,01.03.2018 03:06,Gebyr,,240,Gebyrer
Overførsel,240,01.03.2018 03:06,Udbetaling til konto,60,0,Overførsel
Salg,1500,01.03.2018 16:12,,75,1500,Buffet
Salg,500,01.03.2018 16:47,,75,2000,Buffet
Gebyr,150,02.03.2018 03:06,Gebyr,,1850,Gebyrer
Overførsel,1850,02.03.2018 03:06,Udbetaling til konto,150,0,Overførsel
Salg,1200,08.03.2018 10:55,,75,1200,Buffet
Salg,500,08.03.2018 12:43,,75,1700,Buffet
Salg,2000,08.03.2018 13:35,,75,3700,Buffet
Salg,2000,08.03.2018 13:59,,75,5700,Buffet
Salg,1500,08.03.2018 14:32,,75,7200,Buffet
Salg,500,08.03.2018 14:33,,,7700,Buffet
Salg,500,08.03.2018 15:46,,75,8200,Buffet
Salg,500,08.03.2018 15:46,,75,8700,Buffet
Salg,500,08.03.2018 15:59,,75,9200,Buffet
Salg,1000,08.03.2018 16:04,Yoggi,75,10200,Buffet
Salg,1000,08.03.2018 17:02,,75,11200,Buffet
Salg,1000,08.03.2018 19:22,,75,12200,Buffet
Salg,1000,08.03.2018 19:49,,75,13200,Buffet
Salg,1000,08.03.2018 20:31,,75,14200,Buffet
Gebyr,1050,09.03.2018 03:06,Gebyr,,13150,Gebyrer
Overførsel,13150,09.03.2018 03:06,Udbetaling til konto,1050,0,Overførsel
Salg,1000,09.03.2018 21:59,,75,1000,Buffet
Salg,500,09.03.2018 23:54,,75,1500,Buffet
Gebyr,150,10.03.2018 03:07,Gebyr,,1350,Gebyrer
Overførsel,1350,10.03.2018 03:07,Udbetaling til konto,150,0,Overførsel
Salg,200,10.03.2018 15:13,,75,200,Buffet
Salg,200,10.03.2018 15:39,,75,400,Buffet
Salg,500,10.03.2018 16:32,,75,900,Buffet
Salg,500,10.03.2018 17:22,,75,1400,Buffet
Gebyr,300,11.03.2018 03:05,Gebyr,,1100,Gebyrer
Overførsel,1100,11.03.2018 03:05,Udbetaling til konto,300,0,Overførsel
Salg,500,11.03.2018 20:19,,75,500,Buffet
Gebyr,75,12.03.2018 03:05,Gebyr,,425,Gebyrer
Overførsel,425,12.03.2018 03:05,Udbetaling til konto,75,0,Overførsel
Salg,1400,12.03.2018 10:35,,75,1400,Buffet
Salg,2000,12.03.2018 11:23,,75,3400,Buffet
Salg,1500,12.03.2018 13:12,,75,4900,Buffet
Salg,1500,12.03.2018 13:13,,75,6400,Buffet
