"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Salg";5,00;23-03-2018;18:40;"";0,75;403,00
"Salg";20,00;23-03-2018;18:42;"";0,75;423,00
"Salg";20,00;23-03-2018;18:43;"";0,75;443,00
"Salg";5,00;23-03-2018;18:43;"";0,75;448,00
"Salg";15,00;23-03-2018;18:43;"";0,75;463,00
"Salg";5,00;23-03-2018;18:43;"";0,75;468,00
"Salg";20,00;23-03-2018;18:45;"";0,75;488,00
"Salg";15,00;23-03-2018;18:54;"";0,75;503,00
"Salg";5,00;23-03-2018;18:56;"";0,75;508,00
"Salg";10,00;23-03-2018;18:58;"";0,75;518,00
"Salg";30,00;23-03-2018;19:01;"";0,75;548,00
"Salg";10,00;23-03-2018;19:06;"";0,75;558,00
"Salg";15,00;23-03-2018;19:10;"";0,75;573,00
"Salg";20,00;23-03-2018;19:10;"";0,75;593,00
"Salg";30,00;23-03-2018;19:11;"";0,75;623,00
"Salg";5,00;23-03-2018;19:13;"";0,75;628,00
"Salg";15,00;23-03-2018;19:14;"";0,75;643,00
"Salg";15,00;23-03-2018;19:15;"";0,75;658,00
"Salg";60,00;23-03-2018;19:16;"";0,75;718,00
"Salg";10,00;23-03-2018;19:25;"";0,75;728,00
"Salg";25,00;23-03-2018;19:25;"Eric Hotdog";0,75;753,00
"Salg";10,00;23-03-2018;19:26;"";0,75;763,00
"Salg";30,00;23-03-2018;19:27;"";0,75;793,00
"Salg";15,00;23-03-2018;19:31;"";0,75;808,00
"Salg";15,00;23-03-2018;19:34;"";0,75;823,00
"Salg";15,00;23-03-2018;19:42;"";0,75;838,00
"Salg";15,00;23-03-2018;19:43;"";0,75;853,00
"Salg";15,00;23-03-2018;19:44;"";0,75;868,00
"Salg";20,00;23-03-2018;19:46;"";0,75;888,00
"Salg";15,00;23-03-2018;19:47;"";0,75;903,00
"Salg";20,00;23-03-2018;19:50;"";0,75;923,00
"Salg";15,00;23-03-2018;19:54;"Drikkedrikke";0,75;938,00
"Salg";5,00;23-03-2018;20:00;"";0,75;943,00
"Salg";15,00;23-03-2018;20:08;"";0,75;958,00
"Salg";5,00;23-03-2018;20:13;"";0,75;963,00
"Salg";10,00;23-03-2018;20:14;"";0,75;973,00
"Salg";15,00;23-03-2018;20:20;"";0,75;988,00
"Salg";15,00;23-03-2018;20:22;"";0,75;1.003,00
"Salg";15,00;23-03-2018;20:26;"";0,75;1.018,00
"Salg";15,00;23-03-2018;20:27;"";0,75;1.033,00
"Salg";20,00;23-03-2018;20:30;"";0,75;1.053,00
"Salg";10,00;23-03-2018;20:36;"";0,75;1.063,00
"Salg";15,00;23-03-2018;20:45;"";0,75;1.078,00
"Salg";5,00;23-03-2018;20:51;"";0,75;1.083,00
"Salg";30,00;23-03-2018;21:00;"";0,75;1.113,00
"Salg";55,00;23-03-2018;21:01;"";0,75;1.168,00
"Salg";30,00;23-03-2018;21:01;"";0,75;1.198,00
"Salg";30,00;23-03-2018;21:01;"";0,75;1.228,00
"Salg";30,00;23-03-2018;21:02;"";0,75;1.258,00
"Salg";15,00;23-03-2018;21:11;"";0,75;1.273,00
"Salg";15,00;23-03-2018;21:13;"";0,75;1.288,00
"Salg";10,00;23-03-2018;21:14;"";0,75;1.298,00
"Salg";15,00;23-03-2018;21:15;"";0,75;1.313,00
"Salg";15,00;23-03-2018;21:21;"";0,75;1.328,00
"Salg";5,00;23-03-2018;21:23;"";0,75;1.333,00
"Salg";5,00;23-03-2018;21:24;"";0,75;1.338,00
"Salg";5,00;23-03-2018;21:30;"";0,75;1.343,00
"Salg";20,00;23-03-2018;21:32;"";0,75;1.363,00
"Salg";40,00;23-03-2018;21:32;"";0,75;1.403,00
"Salg";15,00;23-03-2018;21:32;"";0,75;1.418,00
"Salg";5,00;23-03-2018;21:36;"";0,75;1.423,00
"Salg";5,00;23-03-2018;21:38;"";0,75;1.428,00
"Salg";5,00;23-03-2018;21:40;"";0,75;1.433,00
"Salg";25,00;23-03-2018;21:42;"";0,75;1.458,00
"Salg";15,00;23-03-2018;21:45;"";0,75;1.473,00
"Salg";10,00;23-03-2018;21:54;"";0,75;1.483,00
"Salg";30,00;23-03-2018;21:57;"";0,75;1.513,00
"Salg";15,00;23-03-2018;21:59;"";0,75;1.528,00
"Salg";40,00;23-03-2018;22:20;"";0,75;1.568,00
"Salg";25,00;23-03-2018;22:33;"";0,75;1.593,00
"Salg";5,00;23-03-2018;22:36;"";0,75;1.598,00
"Salg";10,00;23-03-2018;22:42;"";0,75;1.608,00
"Salg";15,00;23-03-2018;22:53;"";0,75;1.623,00
"Salg";10,00;23-03-2018;23:03;"";0,75;1.633,00
"Salg";20,00;23-03-2018;23:06;"";0,75;1.653,00
"Salg";10,00;23-03-2018;23:07;"";0,75;1.663,00
"Salg";15,00;23-03-2018;23:08;"";0,75;1.678,00
"Salg";15,00;23-03-2018;23:09;"";0,75;1.693,00
"Salg";10,00;23-03-2018;23:13;"";0,75;1.703,00
"Salg";10,00;23-03-2018;23:15;"";0,75;1.713,00
"Salg";10,00;23-03-2018;23:16;"";0,75;1.723,00
"Salg";10,00;23-03-2018;23:17;"";0,75;1.733,00
"Salg";15,00;23-03-2018;23:40;"";0,75;1.748,00
"Salg";10,00;23-03-2018;23:42;"";0,75;1.758,00
"Salg";5,00;23-03-2018;23:44;"";0,75;1.763,00
"Salg";15,00;23-03-2018;23:45;"";0,75;1.778,00
"Salg";15,00;23-03-2018;23:46;"";0,75;1.793,00
"Salg";20,00;23-03-2018;23:50;"";0,75;1.813,00
"Salg";100,00;23-03-2018;23:51;"";0,75;1.913,00
"Salg";30,00;23-03-2018;23:52;"";0,75;1.943,00
"Salg";35,00;24-03-2018;00:06;"";0,75;1.978,00
"Salg";5,00;24-03-2018;00:09;"";0,75;1.983,00
"Salg";15,00;24-03-2018;00:17;"";0,75;1.998,00
"Salg";15,00;24-03-2018;00:17;"";0,75;2.013,00
"Salg";15,00;24-03-2018;00:32;"";0,75;2.028,00
"Salg";15,00;24-03-2018;00:34;"";0,75;2.043,00
"Salg";30,00;24-03-2018;00:34;"";0,75;2.073,00
"Salg";45,00;24-03-2018;00:34;"";0,75;2.118,00
"Salg";15,00;24-03-2018;00:34;"";0,75;2.133,00
"Salg";5,00;24-03-2018;00:46;"PØLSE!";0,75;2.138,00
"Salg";40,00;24-03-2018;00:48;"";0,75;2.178,00
"Salg";20,00;24-03-2018;00:50;"";0,75;2.198,00
"Salg";10,00;24-03-2018;01:02;"";0,75;2.208,00
"Salg";30,00;24-03-2018;01:11;"";0,75;2.238,00
"Salg";15,00;24-03-2018;01:11;"";0,75;2.253,00
"Salg";30,00;24-03-2018;01:13;"";0,75;2.283,00
"Salg";15,00;24-03-2018;01:29;"";0,75;2.298,00
"Salg";15,00;24-03-2018;01:36;"";0,75;2.313,00
"Salg";40,00;24-03-2018;01:38;"";0,75;2.353,00
"Salg";15,00;24-03-2018;01:40;"";0,75;2.368,00
"Salg";30,00;24-03-2018;01:50;"";0,75;2.398,00
"Salg";45,00;24-03-2018;02:03;"";0,75;2.443,00
"Salg";15,00;24-03-2018;02:07;"";0,75;2.458,00
"Salg";15,00;24-03-2018;02:21;"";0,75;2.473,00
"Salg";10,00;24-03-2018;02:40;"";0,75;2.483,00
"Gebyr";104,25;24-03-2018;03:05;"Gebyr";;2.378,75
"Overførsel";2.378,75;24-03-2018;03:05;"Udbetaling til konto";104,25;0,00
"Salg";10,00;24-03-2018;03:19;"";0,75;10,00
"Salg";50,00;24-03-2018;03:20;"";0,75;60,00
"Gebyr";1,50;25-03-2018;03:07;"Gebyr";;58,50
"Overførsel";58,50;25-03-2018;03:07;"Udbetaling til konto";1,50;0,00
"Salg";14,00;27-03-2018;14:38;"";0,75;14,00
"Salg";32,00;27-03-2018;17:03;"";0,75;46,00
"Salg";48,00;27-03-2018;17:13;"";0,75;94,00
"Salg";16,00;27-03-2018;17:51;"";0,75;110,00
"Salg";16,00;27-03-2018;18:20;"";0,75;126,00
"Salg";20,00;27-03-2018;18:34;"IPA";0,75;146,00
"Salg";16,00;27-03-2018;18:59;"";0,75;162,00
"Salg";20,00;27-03-2018;19:07;"IPA";0,75;182,00
"Salg";24,00;27-03-2018;19:14;"";0,75;206,00
"Salg";16,00;27-03-2018;19:29;"";0,75;222,00
"Salg";16,00;27-03-2018;19:41;"";0,75;238,00
"Salg";24,00;27-03-2018;19:51;"";0,75;262,00
"Salg";6,00;27-03-2018;20:38;"";0,75;268,00
"Gebyr";9,75;28-03-2018;03:07;"Gebyr";;258,25
"Overførsel";258,25;28-03-2018;03:07;"Udbetaling til konto";9,75;0,00
"Salg";5,00;28-03-2018;16:20;"";0,75;5,00
"Salg";5,00;28-03-2018;16:20;"";0,75;10,00
"Gebyr";1,50;29-03-2018;03:06;"Gebyr";;8,50
"Overførsel";8,50;29-03-2018;03:06;"Udbetaling til konto";1,50;0,00
