"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Gebyr";0,60;01-03-2018;03:06;"Gebyr";;2,40
"Overførsel";2,40;01-03-2018;03:06;"Udbetaling til konto";0,60;0,00
"Salg";15,00;01-03-2018;16:12;"";0,75;15,00
"Salg";5,00;01-03-2018;16:47;"";0,75;20,00
"Gebyr";1,50;02-03-2018;03:06;"Gebyr";;18,50
"Overførsel";18,50;02-03-2018;03:06;"Udbetaling til konto";1,50;0,00
"Salg";12,00;08-03-2018;10:55;"";0,75;12,00
"Salg";5,00;08-03-2018;12:43;"";0,75;17,00
"Salg";20,00;08-03-2018;13:35;"";0,75;37,00
"Salg";20,00;08-03-2018;13:59;"";0,75;57,00
"Salg";15,00;08-03-2018;14:32;"";0,75;72,00
"Salg";5,00;08-03-2018;14:33;"";Afventer;77,00
"Salg";5,00;08-03-2018;15:46;"";0,75;82,00
"Salg";5,00;08-03-2018;15:46;"";0,75;87,00
"Salg";5,00;08-03-2018;15:59;"";0,75;92,00
"Salg";10,00;08-03-2018;16:04;"Yoggi";0,75;102,00
"Salg";10,00;08-03-2018;17:02;"";0,75;112,00
"Salg";10,00;08-03-2018;19:22;"";0,75;122,00
"Salg";10,00;08-03-2018;19:49;"";0,75;132,00
"Salg";10,00;08-03-2018;20:31;"";0,75;142,00
"Gebyr";10,50;09-03-2018;03:06;"Gebyr";;131,50
"Overførsel";131,50;09-03-2018;03:06;"Udbetaling til konto";10,50;0,00
"Salg";10,00;09-03-2018;21:59;"";0,75;10,00
"Salg";5,00;09-03-2018;23:54;"";0,75;15,00
"Gebyr";1,50;10-03-2018;03:07;"Gebyr";;13,50
"Overførsel";13,50;10-03-2018;03:07;"Udbetaling til konto";1,50;0,00
"Salg";2,00;10-03-2018;15:13;"";0,75;2,00
"Salg";2,00;10-03-2018;15:39;"";0,75;4,00
"Salg";5,00;10-03-2018;16:32;"";0,75;9,00
"Salg";5,00;10-03-2018;17:22;"";0,75;14,00
"Gebyr";3,00;11-03-2018;03:05;"Gebyr";;11,00
"Overførsel";11,00;11-03-2018;03:05;"Udbetaling til konto";3,00;0,00
"Salg";5,00;11-03-2018;20:19;"";0,75;5,00
"Gebyr";0,75;12-03-2018;03:05;"Gebyr";;4,25
"Overførsel";4,25;12-03-2018;03:05;"Udbetaling til konto";0,75;0,00
"Salg";14,00;12-03-2018;10:35;"";0,75;14,00
"Salg";20,00;12-03-2018;11:23;"";0,75;34,00
"Salg";15,00;12-03-2018;13:12;"";0,75;49,00
"Salg";15,00;12-03-2018;13:13;"";0,75;64,00
"Salg";15,00;12-03-2018;13:22;"";0,75;79,00
"Salg";10,00;12-03-2018;13:27;"Toast";0,75;89,00
"Salg";1,50;12-03-2018;13:34;"Brød";0,75;90,50
"Salg";12,00;12-03-2018;14:52;"";0,75;102,50
"Salg";15,00;12-03-2018;17:01;"3x mælkesnitter";0,75;117,50
"Gebyr";6,75;13-03-2018;03:06;"Gebyr";;110,75
"Overførsel";110,75;13-03-2018;03:06;"Udbetaling til konto";6,75;0,00
"Salg";4,00;13-03-2018;20:04;"";0,75;4,00
"Salg";10,00;13-03-2018;20:11;"Tåååååst";0,75;14,00
"Salg";4,00;13-03-2018;20:42;"";0,75;18,00
"Gebyr";2,25;14-03-2018;03:07;"Gebyr";;15,75
"Overførsel";15,75;14-03-2018;03:07;"Udbetaling til konto";2,25;0,00
"Salg";24,00;14-03-2018;03:36;"";0,75;24,00
"Salg";12,00;14-03-2018;13:09;"";0,75;36,00
"Salg";16,00;14-03-2018;15:14;"Ritter";0,75;52,00
"Salg";20,00;14-03-2018;15:40;"";0,75;72,00
"Salg";5,00;14-03-2018;16:53;"";0,75;77,00
"Salg";12,00;14-03-2018;17:28;"";0,75;89,00
"Salg";4,00;14-03-2018;18:03;"";0,75;93,00
"Salg";15,00;14-03-2018;19:23;"";0,75;108,00
"Gebyr";6,00;15-03-2018;03:05;"Gebyr";;102,00
"Overførsel";102,00;15-03-2018;03:05;"Udbetaling til konto";6,00;0,00
"Salg";14,00;15-03-2018;09:34;"";0,75;14,00
"Salg";20,00;15-03-2018;10:01;"";0,75;34,00
"Salg";14,00;15-03-2018;16:52;"";0,75;48,00
"Salg";10,00;15-03-2018;17:07;"";0,75;58,00
"Salg";5,00;15-03-2018;17:17;"";0,75;63,00
"Salg";10,00;15-03-2018;17:21;"Yoggi";0,75;73,00
"Salg";9,00;15-03-2018;18:10;"";0,75;82,00
"Salg";14,00;15-03-2018;18:42;"";0,75;96,00
"Salg";10,00;15-03-2018;19:36;"";0,75;106,00
"Salg";5,00;16-03-2018;01:17;"";0,75;111,00
"Gebyr";7,50;16-03-2018;03:05;"Gebyr";;103,50
"Overførsel";103,50;16-03-2018;03:05;"Udbetaling til konto";7,50;0,00
"Salg";14,00;16-03-2018;03:17;"Risifrutti";0,75;14,00
"Salg";14,00;16-03-2018;03:49;"Fis i rutti";0,75;28,00
"Salg";6,00;16-03-2018;11:35;"";0,75;34,00
"Salg";10,00;16-03-2018;17:20;"";0,75;44,00
"Salg";14,00;16-03-2018;18:19;"";0,75;58,00
"Gebyr";3,75;17-03-2018;03:07;"Gebyr";;54,25
"Overførsel";54,25;17-03-2018;03:07;"Udbetaling til konto";3,75;0,00
"Salg";15,00;18-03-2018;12:23;"";0,75;15,00
"Gebyr";0,75;19-03-2018;03:06;"Gebyr";;14,25
"Overførsel";14,25;19-03-2018;03:06;"Udbetaling til konto";0,75;0,00
"Salg";14,00;19-03-2018;15:43;"";0,75;14,00
"Salg";10,00;19-03-2018;16:15;"";0,75;24,00
"Salg";10,00;19-03-2018;16:22;"";0,75;34,00
"Gebyr";2,25;20-03-2018;03:06;"Gebyr";;31,75
"Overførsel";31,75;20-03-2018;03:06;"Udbetaling til konto";2,25;0,00
"Salg";14,00;20-03-2018;10:29;"";0,75;14,00
"Salg";10,00;20-03-2018;15:11;"";0,75;24,00
"Salg";10,00;20-03-2018;15:12;"";0,75;34,00
"Salg";10,00;20-03-2018;16:28;"";0,75;44,00
"Salg";10,00;20-03-2018;20:02;"";0,75;54,00
"Gebyr";3,75;21-03-2018;03:07;"Gebyr";;50,25
"Overførsel";50,25;21-03-2018;03:07;"Udbetaling til konto";3,75;0,00
"Salg";12,00;21-03-2018;10:01;"";0,75;12,00
"Salg";10,00;21-03-2018;12:01;"";0,75;22,00
"Salg";10,00;21-03-2018;13:22;"";0,75;32,00
"Salg";9,00;21-03-2018;15:33;"";0,75;41,00
"Salg";5,00;21-03-2018;17:34;"";0,75;46,00
"Salg";5,00;21-03-2018;17:46;"";0,75;51,00
"Salg";10,00;21-03-2018;18:15;"";0,75;61,00
"Salg";14,00;21-03-2018;19:30;"";0,75;75,00
"Salg";19,00;21-03-2018;20:45;"";0,75;94,00
"Salg";19,00;21-03-2018;20:49;"";0,75;113,00
"Gebyr";7,50;22-03-2018;03:05;"Gebyr";;105,50
"Overførsel";105,50;22-03-2018;03:05;"Udbetaling til konto";7,50;0,00
"Salg";14,00;22-03-2018;15:31;"";0,75;14,00
"Salg";20,00;22-03-2018;16:08;"";0,75;34,00
"Salg";5,00;22-03-2018;16:54;"";0,75;39,00
"Salg";5,00;22-03-2018;16:54;"";0,75;44,00
"Salg";20,00;22-03-2018;17:30;"";0,75;64,00
"Salg";10,00;22-03-2018;18:12;"Toast";0,75;74,00
"Salg";5,00;22-03-2018;18:42;"";0,75;79,00
"Salg";24,00;22-03-2018;20:57;"";0,75;103,00
"Gebyr";6,00;23-03-2018;03:08;"Gebyr";;97,00
"Overførsel";97,00;23-03-2018;03:08;"Udbetaling til konto";6,00;0,00
"Salg";10,00;23-03-2018;10:05;"";0,75;10,00
"Salg";10,00;23-03-2018;10:58;"";0,75;20,00
"Salg";24,00;23-03-2018;12:16;"";0,75;44,00
"Salg";25,00;23-03-2018;12:49;"";0,75;69,00
"Salg";10,00;23-03-2018;13:24;"";0,75;79,00
"Salg";10,00;23-03-2018;15:38;"";0,75;89,00
"Salg";14,00;23-03-2018;16:33;"";0,75;103,00
"Salg";45,00;23-03-2018;17:56;"";0,75;148,00
"Salg";10,00;23-03-2018;17:58;"";0,75;158,00
"Salg";15,00;23-03-2018;17:59;"";0,75;173,00
"Salg";10,00;23-03-2018;18:00;"";0,75;183,00
"Salg";15,00;23-03-2018;18:06;"";0,75;198,00
"Salg";15,00;23-03-2018;18:09;"";0,75;213,00
"Salg";15,00;23-03-2018;18:13;"";0,75;228,00
"Salg";15,00;23-03-2018;18:15;"";0,75;243,00
"Salg";15,00;23-03-2018;18:17;"";0,75;258,00
"Salg";15,00;23-03-2018;18:22;"";0,75;273,00
"Salg";15,00;23-03-2018;18:23;"";0,75;288,00
"Salg";15,00;23-03-2018;18:23;"";0,75;303,00
"Salg";10,00;23-03-2018;18:24;"";0,75;313,00
"Salg";45,00;23-03-2018;18:25;"";0,75;358,00
"Salg";15,00;23-03-2018;18:29;"";0,75;373,00
"Salg";15,00;23-03-2018;18:38;"";0,75;388,00
"Salg";10,00;23-03-2018;18:39;"";0,75;398,00
