"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Salg";5,00;03-09-2018;17:10;"";0,75;5,00
"Gebyr";0,75;04-09-2018;05:23;"Gebyr";;4,25
"Overførsel";4,25;04-09-2018;05:23;"Udbetaling til konto";0,75;0,00
"Salg";8,00;04-09-2018;09:13;"";0,75;8,00
"Salg";4,00;04-09-2018;11:01;"";0,75;12,00
"Salg";5,00;04-09-2018;11:04;"";0,75;17,00
"Salg";6,00;04-09-2018;12:15;"";0,75;23,00
"Salg";10,00;04-09-2018;12:16;"";0,75;33,00
"Salg";12,00;04-09-2018;12:22;"";0,75;45,00
"Salg";6,00;04-09-2018;12:36;"";0,75;51,00
"Salg";4,00;04-09-2018;15:04;"";0,75;55,00
"Salg";4,00;04-09-2018;15:04;"";0,75;59,00
"Salg";5,00;04-09-2018;17:12;"";0,75;64,00
"Salg";11,50;04-09-2018;17:25;"";0,75;75,50
"Gebyr";8,25;05-09-2018;03:10;"Gebyr";;67,25
"Overførsel";67,25;05-09-2018;03:10;"Udbetaling til konto";8,25;0,00
"Salg";8,00;05-09-2018;10:10;"";0,75;8,00
"Salg";5,00;05-09-2018;10:45;"";0,75;13,00
"Salg";5,00;05-09-2018;10:45;"";0,75;18,00
"Salg";4,00;05-09-2018;10:52;"";0,75;22,00
"Salg";5,00;05-09-2018;14:19;"";0,75;27,00
"Salg";15,00;05-09-2018;15:46;"";0,75;42,00
"Salg";24,00;05-09-2018;16:09;"";0,75;66,00
"Gebyr";5,25;06-09-2018;03:10;"Gebyr";;60,75
"Overførsel";60,75;06-09-2018;03:10;"Udbetaling til konto";5,25;0,00
"Salg";10,00;06-09-2018;10:13;"";0,75;10,00
"Salg";19,00;06-09-2018;12:28;"";0,75;29,00
"Salg";5,00;06-09-2018;12:29;"Toast";0,75;34,00
"Salg";5,00;06-09-2018;15:05;"";0,75;39,00
"Salg";5,00;06-09-2018;15:05;"Toast";0,75;44,00
"Salg";10,00;06-09-2018;15:41;"";0,75;54,00
"Salg";14,00;06-09-2018;16:02;"";0,75;68,00
"Gebyr";5,25;07-09-2018;03:11;"Gebyr";;62,75
"Overførsel";62,75;07-09-2018;03:11;"Udbetaling til konto";5,25;0,00
"Salg";10,00;07-09-2018;14:12;"";0,75;10,00
"Salg";5,00;07-09-2018;14:12;"";0,75;15,00
"Salg";5,00;07-09-2018;14:12;"";0,75;20,00
"Salg";24,00;07-09-2018;14:42;"Øl to stk rå";0,75;44,00
"Salg";9,00;07-09-2018;17:25;"";0,75;53,00
"Gebyr";3,75;08-09-2018;03:11;"Gebyr";;49,25
"Overførsel";49,25;08-09-2018;03:11;"Udbetaling til konto";3,75;0,00
"Salg";10,00;09-09-2018;12:44;"";0,75;10,00
"Gebyr";0,75;10-09-2018;03:11;"Gebyr";;9,25
"Overførsel";9,25;10-09-2018;03:11;"Udbetaling til konto";0,75;0,00
"Salg";10,00;10-09-2018;12:31;"";0,75;10,00
"Salg";15,00;10-09-2018;15:06;"";0,75;25,00
"Salg";4,00;10-09-2018;15:50;"";0,75;29,00
"Salg";4,00;10-09-2018;18:42;"";0,75;33,00
"Salg";80,00;10-09-2018;22:30;"Snaps";0,75;113,00
"Gebyr";3,75;11-09-2018;03:10;"Gebyr";;109,25
"Overførsel";109,25;11-09-2018;03:10;"Udbetaling til konto";3,75;0,00
"Salg";10,00;11-09-2018;09:07;"";0,75;10,00
"Salg";5,00;11-09-2018;10:33;"";0,75;15,00
"Salg";8,00;11-09-2018;10:42;"";0,75;23,00
