"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Salg";10,00;05-08-2018;13:31;"slik-snickers";0,75;10,00
"Gebyr";0,75;06-08-2018;03:08;"Gebyr";;9,25
"Overførsel";9,25;06-08-2018;03:08;"Udbetaling til konto";0,75;0,00
"Salg";62,00;13-08-2018;16:07;"knoppers, snickers, m&m, kitkat, twix, cola. dankortautomat i udu";0,75;62,00
"Salg";26,00;13-08-2018;16:09;"Guarana, knoppers, hvid lion bar";0,75;88,00
"Gebyr";1,50;14-08-2018;03:08;"Gebyr";;86,50
"Overførsel";86,50;14-08-2018;03:08;"Udbetaling til konto";1,50;0,00
"Salg";15,00;20-08-2018;15:12;"";0,75;15,00
"Salg";10,00;20-08-2018;16:48;"Manatee";0,75;25,00
"Gebyr";1,50;21-08-2018;03:10;"Gebyr";;23,50
"Overførsel";23,50;21-08-2018;03:10;"Udbetaling til konto";1,50;0,00
"Salg";14,00;23-08-2018;20:21;"";0,75;14,00
"Gebyr";0,75;24-08-2018;03:10;"Gebyr";;13,25
"Overførsel";13,25;24-08-2018;03:10;"Udbetaling til konto";0,75;0,00
"Salg";14,00;26-08-2018;07:59;"";0,75;14,00
"Salg";14,00;26-08-2018;09:35;"";0,75;28,00
"Salg";14,00;26-08-2018;10:48;"";0,75;42,00
"Salg";14,00;26-08-2018;15:34;"";0,75;56,00
"Salg";14,00;27-08-2018;00:10;"";0,75;70,00
"Gebyr";3,75;27-08-2018;03:10;"Gebyr";;66,25
"Overførsel";66,25;27-08-2018;03:10;"Udbetaling til konto";3,75;0,00
"Salg";14,00;27-08-2018;08:02;"";0,75;14,00
"Salg";14,00;27-08-2018;08:32;"";0,75;28,00
"Salg";28,00;27-08-2018;08:42;"";0,75;56,00
"Salg";14,00;27-08-2018;14:17;"";0,75;70,00
"Salg";14,00;27-08-2018;15:02;"";0,75;84,00
"Salg";14,00;27-08-2018;15:04;"";0,75;98,00
"Salg";10,00;27-08-2018;16:14;"";0,75;108,00
"Salg";14,00;27-08-2018;16:15;"";0,75;122,00
"Salg";14,00;27-08-2018;17:48;"";0,75;136,00
"Salg";14,00;27-08-2018;17:56;"";0,75;150,00
"Salg";14,00;27-08-2018;18:00;"";0,75;164,00
"Salg";14,00;27-08-2018;18:08;"";0,75;178,00
"Gebyr";9,00;28-08-2018;03:10;"Gebyr";;169,00
"Overførsel";169,00;28-08-2018;03:10;"Udbetaling til konto";9,00;0,00
"Salg";14,00;28-08-2018;08:33;"";0,75;14,00
"Salg";14,00;28-08-2018;08:35;"";0,75;28,00
"Salg";14,00;28-08-2018;08:39;"";0,75;42,00
"Gebyr";2,25;29-08-2018;03:10;"Gebyr";;39,75
"Overførsel";39,75;29-08-2018;03:10;"Udbetaling til konto";2,25;0,00
