kind,amount,dt,msg,fee,balance,category
Gebyr,900,01.05.2018 03:07,Gebyr,,11000,Gebyrer
Overførsel,11000,01.05.2018 03:07,Udbetaling til konto,900,0,Overførsel
Salg,2500,01.05.2018 09:17,,75,2500,Buffet
Salg,500,01.05.2018 11:01,,75,3000,Buffet
Salg,1300,01.05.2018 11:16,,75,4300,Buffet
Salg,1400,01.05.2018 11:26,,75,5700,Buffet
Salg,500,01.05.2018 12:20,,75,6200,Buffet
Salg,1500,01.05.2018 13:26,,75,7700,Buffet
Salg,1400,01.05.2018 14:16,,75,9100,Buffet
Salg,1000,01.05.2018 15:28,,75,10100,Buffet
Gebyr,600,02.05.2018 03:06,Gebyr,,9500,Gebyrer
Overførsel,9500,02.05.2018 03:06,Udbetaling til konto,600,0,Overførsel
Salg,500,02.05.2018 15:02,Yoghurt,75,500,Buffet
Salg,500,02.05.2018 16:50,,75,1000,Buffet
Salg,500,02.05.2018 18:28,,75,1500,Buffet
Salg,500,02.05.2018 18:28,,75,2000,Buffet
Gebyr,300,03.05.2018 03:06,Gebyr,,1700,Gebyrer
Overførsel,1700,03.05.2018 03:06,Udbetaling til konto,300,0,Overførsel
Salg,1000,03.05.2018 08:59,,75,1000,Buffet
Salg,1000,03.05.2018 09:57,,75,2000,Buffet
Salg,400,03.05.2018 11:09,,75,2400,Buffet
Salg,300,03.05.2018 14:19,,75,2700,Buffet
Salg,1000,03.05.2018 16:10,,75,3700,Buffet
Salg,1000,03.05.2018 18:32,,75,4700,Buffet
Gebyr,450,04.05.2018 03:06,Gebyr,,4250,Gebyrer
Overførsel,4250,04.05.2018 03:06,Udbetaling til konto,450,0,Overførsel
Salg,1000,04.05.2018 08:23,,75,1000,Buffet
Salg,1000,04.05.2018 09:34,,75,2000,Buffet
Salg,1000,04.05.2018 10:09,,75,3000,Buffet
Salg,1000,04.05.2018 10:19,,75,4000,Buffet
Salg,1000,04.05.2018 11:28,,75,5000,Buffet
Salg,1000,04.05.2018 11:53,,75,6000,Buffet
Salg,1400,04.05.2018 13:17,,75,7400,Buffet
Salg,1400,04.05.2018 13:56,,75,8800,Buffet
Salg,1400,04.05.2018 14:33,,75,10200,Buffet
Salg,1400,04.05.2018 21:54,,75,11600,Buffet
Gebyr,750,05.05.2018 03:08,Gebyr,,10850,Gebyrer
Overførsel,10850,05.05.2018 03:08,Udbetaling til konto,750,0,Overførsel
Salg,1000,07.05.2018 08:49,,75,1000,Buffet
Salg,600,07.05.2018 12:14,,75,1600,Buffet
Salg,1000,07.05.2018 14:10,,75,2600,Buffet
Salg,1000,07.05.2018 14:30,,75,3600,Buffet
Salg,2600,07.05.2018 17:11,,75,6200,Buffet
Gebyr,375,08.05.2018 03:06,Gebyr,,5825,Gebyrer
Overførsel,5825,08.05.2018 03:06,Udbetaling til konto,375,0,Overførsel
Salg,800,08.05.2018 10:13,,75,800,Buffet
Salg,3600,08.05.2018 10:47,,75,4400,Buffet
Salg,300,08.05.2018 12:00,,75,4700,Buffet
Salg,1000,08.05.2018 17:16,,75,5700,Buffet
Salg,450,08.05.2018 17:24,,75,6150,Buffet
Gebyr,375,09.05.2018 03:06,Gebyr,,5775,Gebyrer
Overførsel,5775,09.05.2018 03:06,Udbetaling til konto,375,0,Overførsel
Salg,1000,09.05.2018 08:15,,75,1000,Buffet
Salg,1000,09.05.2018 14:38,,75,2000,Buffet
Salg,1000,09.05.2018 14:40,,75,3000,Buffet
Salg,1000,09.05.2018 15:59,,75,4000,Buffet
Salg,1000,09.05.2018 16:04,,75,5000,Buffet
Salg,1000,09.05.2018 16:20,,75,6000,Buffet
Salg,1000,09.05.2018 17:39,,75,7000,Buffet
Salg,500,09.05.2018 18:38,,75,7500,Buffet
Salg,500,09.05.2018 18:44,,75,8000,Buffet
Gebyr,675,10.05.2018 03:06,Gebyr,,7325,Gebyrer
Overførsel,7325,10.05.2018 03:06,Udbetaling til konto,675,0,Overførsel
Salg,1000,10.05.2018 09:06,,75,1000,Buffet
Salg,1000,10.05.2018 11:09,,75,2000,Buffet
Salg,1500,10.05.2018 12:20,,75,3500,Buffet
Salg,500,10.05.2018 12:52,,75,4000,Buffet
Salg,500,10.05.2018 13:04,,75,4500,Buffet
Salg,1000,10.05.2018 13:18,,75,5500,Buffet
Salg,1000,10.05.2018 14:33,,75,6500,Buffet
Salg,1000,10.05.2018 14:59,,75,7500,Buffet
Salg,2000,10.05.2018 16:07,,75,9500,Buffet
Salg,400,10.05.2018 16:10,,75,9900,Buffet
Salg,1000,10.05.2018 16:17,,75,10900,Buffet
Salg,1900,10.05.2018 16:18,,75,12800,Buffet
Salg,1400,10.05.2018 16:25,,75,14200,Buffet
Salg,1400,10.05.2018 16:30,,75,15600,Buffet
Salg,500,10.05.2018 16:37,,75,16100,Buffet
Salg,500,10.05.2018 16:41,,75,16600,Buffet
Salg,500,10.05.2018 16:48,,75,17100,Buffet
Salg,1000,10.05.2018 17:27,,75,18100,Buffet
Salg,700,10.05.2018 21:25,,75,18800,Buffet
Gebyr,1425,11.05.2018 03:05,Gebyr,,17375,Gebyrer
Overførsel,17375,11.05.2018 03:05,Udbetaling til konto,1425,0,Overførsel
