kind,amount,dt,msg,fee,balance,category
Gebyr,525,01.06.2018 03:06,Gebyr,,9575,Gebyrer
Overførsel,9575,01.06.2018 03:06,Udbetaling til konto,525,0,Overførsel
Salg,2000,01.06.2018 09:16,,75,2000,Buffet
Salg,1200,01.06.2018 15:50,,75,3200,Buffet
Salg,1400,01.06.2018 15:51,,75,4600,Buffet
Salg,1400,01.06.2018 16:26,,75,6000,Buffet
Salg,500,01.06.2018 21:35,,75,6500,Buffet
Salg,500,01.06.2018 22:54,,75,7000,Buffet
Gebyr,450,02.06.2018 03:06,Gebyr,,6550,Gebyrer
Overførsel,6550,02.06.2018 03:06,Udbetaling til konto,450,0,Overførsel
Salg,1400,02.06.2018 16:34,,75,1400,Buffet
Salg,600,03.06.2018 01:36,,75,2000,Buffet
Gebyr,150,03.06.2018 03:05,Gebyr,,1850,Gebyrer
Overførsel,1850,03.06.2018 03:05,Udbetaling til konto,150,0,Overførsel
Salg,1400,03.06.2018 12:25,,75,1400,Buffet
Salg,300,03.06.2018 14:25,,75,1700,Buffet
Salg,1300,03.06.2018 14:34,,75,3000,Buffet
Salg,1000,03.06.2018 16:23,,75,4000,Buffet
Salg,1300,03.06.2018 19:28,,75,5300,Buffet
Salg,1300,04.06.2018 00:46,,75,6600,Buffet
Gebyr,450,04.06.2018 03:05,Gebyr,,6150,Gebyrer
Overførsel,6150,04.06.2018 03:05,Udbetaling til konto,450,0,Overførsel
Salg,800,04.06.2018 16:30,,75,800,Buffet
Salg,1000,04.06.2018 23:12,,75,1800,Buffet
Gebyr,150,05.06.2018 03:06,Gebyr,,1650,Gebyrer
Overførsel,1650,05.06.2018 03:06,Udbetaling til konto,150,0,Overførsel
Salg,1000,05.06.2018 11:20,,75,1000,Buffet
Salg,500,05.06.2018 12:11,,75,1500,Buffet
Salg,500,05.06.2018 12:14,,75,2000,Buffet
Salg,1000,05.06.2018 12:22,,75,3000,Buffet
Salg,1400,05.06.2018 13:12,Koldskål,75,4400,Buffet
Salg,1000,05.06.2018 13:13,,75,5400,Buffet
Salg,900,05.06.2018 13:13,,75,6300,Buffet
Salg,1900,05.06.2018 13:44,,75,8200,Buffet
Salg,500,05.06.2018 13:44,,75,8700,Buffet
Salg,1000,05.06.2018 13:47,,75,9700,Buffet
Salg,1400,05.06.2018 14:02,,75,11100,Buffet
Salg,400,05.06.2018 14:21,,75,11500,Buffet
Salg,1000,05.06.2018 16:15,,75,12500,Buffet
Salg,1000,05.06.2018 16:18,,75,13500,Buffet
Salg,1000,05.06.2018 16:22,,75,14500,Buffet
Salg,400,05.06.2018 17:01,,75,14900,Buffet
Salg,1400,05.06.2018 19:21,,75,16300,Buffet
Salg,1400,05.06.2018 19:37,,75,17700,Buffet
Salg,1400,05.06.2018 20:43,,75,19100,Buffet
Salg,1400,06.06.2018 00:42,,75,20500,Buffet
Gebyr,1500,06.06.2018 03:05,Gebyr,,19000,Gebyrer
Overførsel,19000,06.06.2018 03:05,Udbetaling til konto,1500,0,Overførsel
Salg,800,06.06.2018 09:19,,75,800,Buffet
Salg,1400,06.06.2018 14:30,,75,2200,Buffet
Salg,1000,06.06.2018 19:07,,75,3200,Buffet
Gebyr,225,07.06.2018 03:06,Gebyr,,2975,Gebyrer
