"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Gebyr";6,75;01-12-2018;03:03;"Gebyr";;468,25
"Overførsel";468,25;01-12-2018;03:03;"Udbetaling til konto";6,75;0,00
"Salg";14,00;01-12-2018;12:24;"";0,75;14,00
"Salg";14,00;01-12-2018;13:36;"";0,75;28,00
"Salg";14,00;01-12-2018;20:06;"";0,75;42,00
"Gebyr";2,25;02-12-2018;03:04;"Gebyr";;39,75
"Overførsel";39,75;02-12-2018;03:04;"Udbetaling til konto";2,25;0,00
"Salg";15,00;02-12-2018;10:48;"";0,75;15,00
"Salg";14,00;02-12-2018;18:39;"";0,75;29,00
"Gebyr";1,50;03-12-2018;03:04;"Gebyr";;27,50
"Overførsel";27,50;03-12-2018;03:04;"Udbetaling til konto";1,50;0,00
"Salg";15,00;03-12-2018;06:33;"Kata";0,75;15,00
"Salg";6,00;03-12-2018;12:59;"";0,75;21,00
"Salg";15,00;03-12-2018;13:15;"";0,75;36,00
"Salg";10,00;03-12-2018;13:18;"";0,75;46,00
"Salg";20,00;03-12-2018;13:28;"";0,75;66,00
"Salg";30,00;03-12-2018;13:28;"";0,75;96,00
"Salg";14,00;03-12-2018;13:41;"";0,75;110,00
"Salg";10,00;03-12-2018;14:32;"";0,75;120,00
"Salg";6,00;03-12-2018;15:00;"";0,75;126,00
"Salg";11,00;03-12-2018;15:01;"";0,75;137,00
"Salg";10,00;03-12-2018;15:34;"";0,75;147,00
"Salg";6,00;03-12-2018;16:32;"";0,75;153,00
"Salg";5,00;03-12-2018;16:39;"";0,75;158,00
"Salg";4,00;03-12-2018;17:05;"";0,75;162,00
"Salg";6,00;03-12-2018;17:10;"";0,75;168,00
"Salg";5,00;03-12-2018;17:23;"";0,75;173,00
"Salg";14,50;03-12-2018;17:43;"";0,75;187,50
"Salg";5,00;03-12-2018;18:31;"";0,75;192,50
"Salg";10,00;03-12-2018;18:34;"";0,75;202,50
"Salg";14,00;03-12-2018;19:08;"";0,75;216,50
"Salg";4,00;03-12-2018;19:49;"";0,75;220,50
"Salg";6,00;03-12-2018;19:59;"";0,75;226,50
"Salg";200,00;03-12-2018;20:47;"Julefrokost";0,75;426,50
"Salg";14,00;03-12-2018;21:18;"";0,75;440,50
"Gebyr";18,00;04-12-2018;03:04;"Gebyr";;422,50
"Overførsel";422,50;04-12-2018;03:04;"Udbetaling til konto";18,00;0,00
"Salg";14,00;04-12-2018;10:10;"";0,75;14,00
"Salg";20,00;04-12-2018;12:13;"";0,75;34,00
"Salg";5,00;04-12-2018;13:08;"";0,75;39,00
"Salg";14,00;04-12-2018;13:46;"";0,75;53,00
"Salg";13,00;04-12-2018;14:42;"";0,75;66,00
"Salg";5,00;04-12-2018;14:58;"";0,75;71,00
"Salg";15,00;04-12-2018;15:00;"";0,75;86,00
"Salg";8,00;04-12-2018;15:14;"";0,75;94,00
"Salg";15,00;04-12-2018;15:17;"";0,75;109,00
"Salg";14,00;04-12-2018;15:39;"";0,75;123,00
"Salg";15,00;04-12-2018;17:18;"";0,75;138,00
"Salg";5,00;04-12-2018;17:28;"";0,75;143,00
"Salg";10,00;04-12-2018;19:04;"";0,75;153,00
"Salg";14,00;04-12-2018;20:50;"";0,75;167,00
"Salg";34,00;04-12-2018;21:19;"";0,75;201,00
"Salg";14,00;04-12-2018;22:45;"";0,75;215,00
"Salg";14,00;04-12-2018;22:45;"";0,75;229,00
"Salg";14,00;04-12-2018;22:45;"";0,75;243,00
"Salg";14,00;05-12-2018;00:06;"";0,75;257,00
"Salg";14,00;05-12-2018;00:07;"";0,75;271,00
"Salg";14,00;05-12-2018;00:08;"";0,75;285,00
"Salg";5,00;05-12-2018;01:26;"";0,75;290,00
"Gebyr";16,50;05-12-2018;03:04;"Gebyr";;273,50
"Overførsel";273,50;05-12-2018;03:04;"Udbetaling til konto";16,50;0,00
"Salg";14,00;05-12-2018;10:57;"";0,75;14,00
"Salg";10,00;05-12-2018;10:57;"";0,75;24,00
"Salg";6,00;05-12-2018;15:17;"";0,75;30,00
"Salg";5,00;05-12-2018;16:16;"";0,75;35,00
"Salg";12,00;05-12-2018;16:22;"";0,75;47,00
"Salg";20,00;05-12-2018;16:44;"Cocio";0,75;67,00
"Salg";14,00;05-12-2018;17:53;"";0,75;81,00
"Salg";17,00;05-12-2018;20:01;"";0,75;98,00
"Salg";13,00;05-12-2018;20:51;"";0,75;111,00
"Salg";6,00;05-12-2018;21:32;"";0,75;117,00
"Salg";15,00;05-12-2018;22:28;"";0,75;132,00
"Gebyr";8,25;06-12-2018;03:04;"Gebyr";;123,75
"Overførsel";123,75;06-12-2018;03:04;"Udbetaling til konto";8,25;0,00
"Salg";1,00;06-12-2018;11:16;"";0,75;1,00
"Salg";5,00;06-12-2018;11:58;"";0,75;6,00
"Salg";20,00;06-12-2018;11:59;"";0,75;26,00
"Salg";10,00;06-12-2018;13:31;"";0,75;36,00
"Salg";10,00;06-12-2018;13:36;"";0,75;46,00
"Salg";10,00;06-12-2018;13:36;"";0,75;56,00
"Salg";5,00;06-12-2018;13:46;"";0,75;61,00
"Salg";15,00;06-12-2018;14:06;"";0,75;76,00
"Salg";10,00;06-12-2018;14:12;"";0,75;86,00
"Salg";25,00;06-12-2018;15:34;"";0,75;111,00
"Salg";4,00;06-12-2018;16:05;"";0,75;115,00
"Salg";12,00;06-12-2018;16:42;"";0,75;127,00
"Salg";1,00;06-12-2018;16:46;"";0,75;128,00
"Salg";20,00;06-12-2018;18:11;"Øl";0,75;148,00
"Salg";14,00;06-12-2018;18:14;"";0,75;162,00
"Salg";5,00;06-12-2018;21:11;"";0,75;167,00
"Salg";3,00;06-12-2018;21:32;"";0,75;170,00
"Gebyr";12,75;07-12-2018;03:04;"Gebyr";;157,25
"Overførsel";157,25;07-12-2018;03:04;"Udbetaling til konto";12,75;0,00
"Salg";10,00;07-12-2018;09:08;"";0,75;10,00
"Salg";14,00;07-12-2018;11:20;"";0,75;24,00
"Salg";12,00;07-12-2018;13:50;"";0,75;36,00
"Salg";14,00;07-12-2018;22:15;"";0,75;50,00
"Salg";7,00;07-12-2018;22:53;"";0,75;57,00
"Salg";5,00;07-12-2018;22:57;"";0,75;62,00
"Gebyr";4,50;08-12-2018;03:04;"Gebyr";;57,50
"Overførsel";57,50;08-12-2018;03:04;"Udbetaling til konto";4,50;0,00
"Salg";10,00;09-12-2018;14:56;"";0,75;10,00
"Salg";10,00;09-12-2018;14:56;"";0,75;20,00
"Salg";13,00;09-12-2018;18:30;"";0,75;33,00
"Gebyr";2,25;10-12-2018;03:03;"Gebyr";;30,75
"Overførsel";30,75;10-12-2018;03:03;"Udbetaling til konto";2,25;0,00
"Salg";14,00;10-12-2018;11:02;"Ritsi";0,75;14,00
"Salg";15,00;10-12-2018;13:42;"";0,75;29,00
"Salg";10,00;10-12-2018;14:24;"";0,75;39,00
"Salg";8,00;10-12-2018;15:12;"";0,75;47,00
"Salg";8,00;10-12-2018;15:12;"";0,75;55,00
"Salg";8,00;10-12-2018;18:12;"";0,75;63,00
"Salg";14,00;10-12-2018;18:29;"";0,75;77,00
"Salg";10,00;10-12-2018;20:08;"";0,75;87,00
"Salg";4,00;10-12-2018;20:34;"";0,75;91,00
"Salg";7,50;10-12-2018;20:50;"";0,75;98,50
"Salg";13,00;10-12-2018;21:56;"";0,75;111,50
"Salg";30,00;10-12-2018;22:42;"";0,75;141,50
"Gebyr";9,00;11-12-2018;03:04;"Gebyr";;132,50
"Overførsel";132,50;11-12-2018;03:04;"Udbetaling til konto";9,00;0,00
"Salg";10,00;11-12-2018;09:48;"";0,75;10,00
"Salg";4,00;11-12-2018;10:07;"";0,75;14,00
"Salg";3,00;11-12-2018;10:12;"";0,75;17,00
"Salg";10,00;11-12-2018;12:08;"";0,75;27,00
"Salg";10,00;11-12-2018;12:25;"";0,75;37,00
"Salg";14,00;11-12-2018;12:31;"";0,75;51,00
"Salg";12,00;11-12-2018;12:47;"";0,75;63,00
"Salg";10,00;11-12-2018;13:08;"";0,75;73,00
"Salg";5,00;11-12-2018;13:10;"";0,75;78,00
"Salg";4,00;11-12-2018;13:14;"";0,75;82,00
"Salg";16,00;11-12-2018;15:12;"FAXE FREE";0,75;98,00
"Salg";15,00;11-12-2018;17:13;"";0,75;113,00
"Salg";18,00;11-12-2018;19:38;"";0,75;131,00
"Gebyr";9,75;12-12-2018;03:03;"Gebyr";;121,25
"Overførsel";121,25;12-12-2018;03:03;"Udbetaling til konto";9,75;0,00
"Salg";10,00;12-12-2018;10:07;"";0,75;10,00
"Salg";10,00;12-12-2018;12:57;"";0,75;20,00
"Salg";10,00;12-12-2018;13:13;"";0,75;30,00
"Salg";12,00;12-12-2018;14:02;"";0,75;42,00
"Salg";6,00;12-12-2018;15:05;"";0,75;48,00
"Salg";5,00;12-12-2018;16:31;"";0,75;53,00
"Salg";8,50;12-12-2018;17:31;"";0,75;61,50
"Salg";14,00;12-12-2018;21:31;"";0,75;75,50
"Gebyr";6,00;13-12-2018;03:04;"Gebyr";;69,50
"Overførsel";69,50;13-12-2018;03:04;"Udbetaling til konto";6,00;0,00
"Salg";3,00;13-12-2018;11:19;"";0,75;3,00
"Salg";5,00;13-12-2018;11:20;"";0,75;8,00
"Salg";4,00;13-12-2018;11:22;"banana";0,75;12,00
"Salg";8,00;13-12-2018;12:41;"";0,75;20,00
"Salg";4,00;13-12-2018;13:08;"";0,75;24,00
"Salg";10,00;13-12-2018;13:13;"";0,75;34,00
"Salg";15,00;13-12-2018;13:59;"";0,75;49,00
"Salg";6,00;13-12-2018;16:04;"";0,75;55,00
"Salg";10,00;13-12-2018;16:07;"";0,75;65,00
"Salg";12,00;13-12-2018;16:09;"";0,75;77,00
"Salg";4,00;13-12-2018;16:14;"";0,75;81,00
"Salg";5,00;13-12-2018;18:28;"";0,75;86,00
"Gebyr";9,00;14-12-2018;03:04;"Gebyr";;77,00
"Overførsel";77,00;14-12-2018;03:04;"Udbetaling til konto";9,00;0,00
"Salg";20,00;14-12-2018;13:17;"";0,75;20,00
"Salg";9,00;14-12-2018;13:27;"";0,75;29,00
"Salg";14,00;14-12-2018;14:21;"";0,75;43,00
"Salg";3,00;14-12-2018;15:44;"";0,75;46,00
"Salg";12,00;14-12-2018;19:19;"";0,75;58,00
"Salg";11,00;14-12-2018;19:30;"";0,75;69,00
"Salg";20,00;15-12-2018;00:18;"";0,75;89,00
"Salg";10,00;15-12-2018;00:28;"";0,75;99,00
"Gebyr";6,00;15-12-2018;03:04;"Gebyr";;93,00
"Overførsel";93,00;15-12-2018;03:04;"Udbetaling til konto";6,00;0,00
"Salg";5,00;16-12-2018;14:59;"Toast, men der var ingen ost :o";0,75;5,00
"Salg";5,00;16-12-2018;15:00;"";0,75;10,00
"Salg";14,00;16-12-2018;19:40;"";0,75;24,00
"Gebyr";2,25;17-12-2018;03:03;"Gebyr";;21,75
"Overførsel";21,75;17-12-2018;03:03;"Udbetaling til konto";2,25;0,00
"Salg";15,00;17-12-2018;09:59;"";0,75;15,00
"Salg";200,00;17-12-2018;10:41;"Julefrokost billet";0,75;215,00
"Salg";10,00;17-12-2018;11:06;"";0,75;225,00
"Salg";40,00;17-12-2018;13:59;"";0,75;265,00
"Salg";10,00;17-12-2018;16:13;"";0,75;275,00
"Salg";10,00;17-12-2018;16:43;"";0,75;285,00
"Salg";6,00;18-12-2018;00:25;"";0,75;291,00
"Gebyr";5,25;18-12-2018;03:04;"Gebyr";;285,75
"Overførsel";285,75;18-12-2018;03:04;"Udbetaling til konto";5,25;0,00
"Salg";10,00;18-12-2018;12:27;"";0,75;10,00
"Salg";4,50;18-12-2018;13:07;"";0,75;14,50
"Salg";14,00;18-12-2018;13:34;"";0,75;28,50
"Salg";14,00;18-12-2018;16:37;"";0,75;42,50
"Gebyr";3,00;19-12-2018;03:04;"Gebyr";;39,50
"Overførsel";39,50;19-12-2018;03:04;"Udbetaling til konto";3,00;0,00
"Salg";10,00;19-12-2018;11:47;"";0,75;10,00
