"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Gebyr";4,50;01-11-2018;03:02;"Gebyr";;45,50
"Overførsel";45,50;01-11-2018;03:02;"Udbetaling til konto";4,50;0,00
"Salg";10,00;01-11-2018;09:56;"";0,75;10,00
"Salg";10,00;01-11-2018;11:04;"";0,75;20,00
"Salg";10,00;01-11-2018;11:30;"";0,75;30,00
"Salg";5,00;01-11-2018;11:49;"";0,75;35,00
"Salg";10,00;01-11-2018;11:59;"";0,75;45,00
"Salg";10,00;01-11-2018;12:08;"";0,75;55,00
"Salg";14,00;01-11-2018;13:24;"";0,75;69,00
"Salg";15,00;01-11-2018;13:34;"";0,75;84,00
"Gebyr";6,00;02-11-2018;03:02;"Gebyr";;78,00
"Overførsel";78,00;02-11-2018;03:02;"Udbetaling til konto";6,00;0,00
"Salg";14,00;02-11-2018;08:50;"Risifrutti";0,75;14,00
"Salg";10,00;02-11-2018;09:12;"";0,75;24,00
"Salg";30,00;02-11-2018;10:47;"Tååååst";0,75;54,00
"Salg";5,00;02-11-2018;11:59;"";0,75;59,00
"Salg";10,00;02-11-2018;13:44;"";0,75;69,00
"Salg";8,00;02-11-2018;14:54;"";0,75;77,00
"Salg";8,00;02-11-2018;14:54;"";0,75;85,00
"Salg";10,00;02-11-2018;16:03;"";0,75;95,00
"Gebyr";6,00;03-11-2018;03:02;"Gebyr";;89,00
"Overførsel";89,00;03-11-2018;03:02;"Udbetaling til konto";6,00;0,00
"Salg";15,00;03-11-2018;11:41;"";0,75;15,00
"Salg";10,00;03-11-2018;15:52;"";0,75;25,00
"Salg";10,00;03-11-2018;16:20;"";0,75;35,00
"Gebyr";2,25;04-11-2018;03:03;"Gebyr";;32,75
"Overførsel";32,75;04-11-2018;03:03;"Udbetaling til konto";2,25;0,00
"Salg";10,00;05-11-2018;12:59;"";0,75;10,00
"Salg";6,00;05-11-2018;13:33;"";0,75;16,00
"Salg";14,00;05-11-2018;14:35;"";0,75;30,00
"Salg";15,00;05-11-2018;16:33;"";0,75;45,00
"Salg";15,00;05-11-2018;16:45;"";0,75;60,00
"Salg";14,00;05-11-2018;23:53;"";0,75;74,00
"Gebyr";4,50;06-11-2018;03:03;"Gebyr";;69,50
"Overførsel";69,50;06-11-2018;03:03;"Udbetaling til konto";4,50;0,00
"Salg";14,00;06-11-2018;08:31;"Risi frutti";0,75;14,00
"Gebyr";0,75;07-11-2018;03:02;"Gebyr";;13,25
"Overførsel";13,25;07-11-2018;03:02;"Udbetaling til konto";0,75;0,00
"Salg";14,00;07-11-2018;13:05;"";0,75;14,00
"Gebyr";0,75;08-11-2018;03:02;"Gebyr";;13,25
"Overførsel";13,25;08-11-2018;03:02;"Udbetaling til konto";0,75;0,00
"Salg";15,00;09-11-2018;11:41;"";0,75;15,00
"Gebyr";0,75;10-11-2018;03:04;"Gebyr";;14,25
"Overførsel";14,25;10-11-2018;03:04;"Udbetaling til konto";0,75;0,00
"Salg";15,00;12-11-2018;14:33;"";0,75;15,00
"Salg";15,00;12-11-2018;14:33;"";0,75;30,00
"Salg";15,00;12-11-2018;14:33;"";0,75;45,00
"Gebyr";2,25;13-11-2018;03:02;"Gebyr";;42,75
"Overførsel";42,75;13-11-2018;03:02;"Udbetaling til konto";2,25;0,00
"Salg";6,00;14-11-2018;15:52;"";0,75;6,00
"Gebyr";0,75;15-11-2018;03:02;"Gebyr";;5,25
"Overførsel";5,25;15-11-2018;03:02;"Udbetaling til konto";0,75;0,00
"Salg";10,00;15-11-2018;19:50;"";0,75;10,00
"Gebyr";0,75;16-11-2018;03:04;"Gebyr";;9,25
"Overførsel";9,25;16-11-2018;03:04;"Udbetaling til konto";0,75;0,00
"Salg";10,00;16-11-2018;20:24;"";0,75;10,00
"Gebyr";0,75;17-11-2018;03:02;"Gebyr";;9,25
"Overførsel";9,25;17-11-2018;03:02;"Udbetaling til konto";0,75;0,00
"Salg";21,00;19-11-2018;00:19;"";0,75;21,00
"Salg";20,00;19-11-2018;01:03;"";0,75;41,00
"Gebyr";1,50;19-11-2018;03:03;"Gebyr";;39,50
"Overførsel";39,50;19-11-2018;03:03;"Udbetaling til konto";1,50;0,00
"Salg";6,00;19-11-2018;11:56;"";0,75;6,00
"Salg";4,50;19-11-2018;12:03;"";0,75;10,50
"Salg";3,00;19-11-2018;12:18;"";0,75;13,50
"Salg";4,00;19-11-2018;12:49;"";0,75;17,50
"Salg";4,00;19-11-2018;12:53;"";0,75;21,50
"Salg";10,00;19-11-2018;13:15;"";0,75;31,50
"Salg";5,00;19-11-2018;13:20;"";0,75;36,50
"Salg";12,00;19-11-2018;13:24;"";0,75;48,50
"Salg";5,00;19-11-2018;13:28;"";0,75;53,50
"Salg";14,00;19-11-2018;14:37;"";0,75;67,50
"Salg";10,00;19-11-2018;15:01;"";0,75;77,50
"Salg";4,00;19-11-2018;15:11;"";0,75;81,50
"Salg";10,00;19-11-2018;16:11;"";0,75;91,50
