kind,amount,dt,msg,fee,balance,category
Gebyr,450,01.11.2018 03:02,Gebyr,,4550,Gebyrer
Overførsel,4550,01.11.2018 03:02,Udbetaling til konto,450,0,Overførsel
Salg,1000,01.11.2018 09:56,,75,1000,Buffet
Salg,1000,01.11.2018 11:04,,75,2000,Buffet
Salg,1000,01.11.2018 11:30,,75,3000,Buffet
Salg,500,01.11.2018 11:49,,75,3500,Buffet
Salg,1000,01.11.2018 11:59,,75,4500,Buffet
Salg,1000,01.11.2018 12:08,,75,5500,Buffet
Salg,1400,01.11.2018 13:24,,75,6900,Buffet
Salg,1500,01.11.2018 13:34,,75,8400,Buffet
Gebyr,600,02.11.2018 03:02,Gebyr,,7800,Gebyrer
Overførsel,7800,02.11.2018 03:02,Udbetaling til konto,600,0,Overførsel
Salg,1400,02.11.2018 08:50,Risifrutti,75,1400,Buffet
Salg,1000,02.11.2018 09:12,,75,2400,Buffet
Salg,3000,02.11.2018 10:47,Tååååst,75,5400,Buffet
Salg,500,02.11.2018 11:59,,75,5900,Buffet
Salg,1000,02.11.2018 13:44,,75,6900,Buffet
Salg,800,02.11.2018 14:54,,75,7700,Buffet
Salg,800,02.11.2018 14:54,,75,8500,Buffet
Salg,1000,02.11.2018 16:03,,75,9500,Buffet
Gebyr,600,03.11.2018 03:02,Gebyr,,8900,Gebyrer
Overførsel,8900,03.11.2018 03:02,Udbetaling til konto,600,0,Overførsel
Salg,1500,03.11.2018 11:41,,75,1500,Buffet
Salg,1000,03.11.2018 15:52,,75,2500,Buffet
Salg,1000,03.11.2018 16:20,,75,3500,Buffet
Gebyr,225,04.11.2018 03:03,Gebyr,,3275,Gebyrer
Overførsel,3275,04.11.2018 03:03,Udbetaling til konto,225,0,Overførsel
Salg,1000,05.11.2018 12:59,,75,1000,Buffet
Salg,600,05.11.2018 13:33,,75,1600,Buffet
Salg,1400,05.11.2018 14:35,,75,3000,Buffet
Salg,1500,05.11.2018 16:33,,75,4500,Buffet
Salg,1500,05.11.2018 16:45,,75,6000,Buffet
Salg,1400,05.11.2018 23:53,,75,7400,Buffet
Gebyr,450,06.11.2018 03:03,Gebyr,,6950,Gebyrer
Overførsel,6950,06.11.2018 03:03,Udbetaling til konto,450,0,Overførsel
Salg,1400,06.11.2018 08:31,Risi frutti,75,1400,Buffet
Gebyr,75,07.11.2018 03:02,Gebyr,,1325,Gebyrer
Overførsel,1325,07.11.2018 03:02,Udbetaling til konto,75,0,Overførsel
Salg,1400,07.11.2018 13:05,,75,1400,Buffet
Gebyr,75,08.11.2018 03:02,Gebyr,,1325,Gebyrer
Overførsel,1325,08.11.2018 03:02,Udbetaling til konto,75,0,Overførsel
Salg,1500,09.11.2018 11:41,,75,1500,Buffet
Gebyr,75,10.11.2018 03:04,Gebyr,,1425,Gebyrer
Overførsel,1425,10.11.2018 03:04,Udbetaling til konto,75,0,Overførsel
Salg,1500,12.11.2018 14:33,,75,1500,Buffet
Salg,1500,12.11.2018 14:33,,75,3000,Buffet
