"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Gebyr";1,50;01-10-2018;03:11;"Gebyr";;14,50
"Overførsel";14,50;01-10-2018;03:11;"Udbetaling til konto";1,50;0,00
"Salg";14,00;01-10-2018;10:06;"";0,75;14,00
"Salg";5,00;01-10-2018;12:08;"";0,75;19,00
"Salg";5,00;01-10-2018;12:12;"";0,75;24,00
"Salg";8,00;01-10-2018;12:49;"";0,75;32,00
"Salg";9,00;01-10-2018;13:11;"";0,75;41,00
"Salg";3,00;01-10-2018;13:16;"";0,75;44,00
"Salg";1,50;01-10-2018;13:16;"";0,75;45,50
"Salg";3,00;01-10-2018;13:19;"";0,75;48,50
"Salg";1,50;01-10-2018;13:22;"";0,75;50,00
"Salg";10,00;01-10-2018;14:58;"Mælkesnitter";0,75;60,00
"Salg";10,00;01-10-2018;15:04;"";0,75;70,00
"Salg";4,00;01-10-2018;15:33;"";0,75;74,00
"Salg";15,00;01-10-2018;15:37;"Kort";0,75;89,00
"Salg";3,00;01-10-2018;16:00;"";0,75;92,00
"Salg";5,00;01-10-2018;19:52;"";0,75;97,00
"Salg";10,00;01-10-2018;20:15;"";0,75;107,00
"Gebyr";12,00;02-10-2018;03:11;"Gebyr";;95,00
"Overførsel";95,00;02-10-2018;03:11;"Udbetaling til konto";12,00;0,00
"Salg";15,00;02-10-2018;09:04;"";0,75;15,00
"Salg";1,50;02-10-2018;09:11;"";0,75;16,50
"Salg";6,00;02-10-2018;09:32;"";0,75;22,50
"Salg";24,00;02-10-2018;09:44;"";0,75;46,50
"Salg";15,00;02-10-2018;09:45;"";0,75;61,50
"Salg";15,00;02-10-2018;10:39;"";0,75;76,50
"Salg";4,00;02-10-2018;11:51;"";0,75;80,50
"Salg";4,00;02-10-2018;12:10;"";0,75;84,50
"Salg";4,00;02-10-2018;12:11;"";0,75;88,50
"Salg";9,00;02-10-2018;12:29;"";0,75;97,50
"Salg";10,00;02-10-2018;12:56;"";0,75;107,50
"Salg";10,00;02-10-2018;13:02;"";0,75;117,50
"Salg";5,00;02-10-2018;14:20;"";0,75;122,50
"Salg";10,00;02-10-2018;14:49;"";0,75;132,50
"Salg";10,00;02-10-2018;14:55;"";0,75;142,50
"Salg";5,00;02-10-2018;15:00;"Toast";0,75;147,50
"Salg";4,00;02-10-2018;15:07;"";0,75;151,50
"Salg";6,00;02-10-2018;15:53;"";0,75;157,50
"Salg";5,00;02-10-2018;16:14;"";0,75;162,50
"Salg";18,00;02-10-2018;17:00;"Tooooast";0,75;180,50
"Salg";6,00;02-10-2018;17:17;"";0,75;186,50
"Salg";14,00;02-10-2018;17:20;"Risi";0,75;200,50
"Salg";4,00;02-10-2018;18:05;"";0,75;204,50
"Salg";15,00;02-10-2018;18:54;"";0,75;219,50
"Salg";30,00;02-10-2018;18:58;"";0,75;249,50
"Salg";15,00;02-10-2018;19:15;"";0,75;264,50
"Gebyr";19,50;03-10-2018;03:12;"Gebyr";;245,00
"Overførsel";245,00;03-10-2018;03:12;"Udbetaling til konto";19,50;0,00
"Salg";10,00;03-10-2018;09:11;"";0,75;10,00
"Salg";10,00;03-10-2018;09:47;"";0,75;20,00
"Salg";19,00;03-10-2018;11:07;"";0,75;39,00
"Salg";4,00;03-10-2018;17:17;"";0,75;43,00
"Salg";12,00;03-10-2018;19:43;"";0,75;55,00
"Salg";4,50;03-10-2018;20:21;"";0,75;59,50
