kind,amount,dt,msg,fee,balance,category
Salg,800,02.01.2018 11:04,,60,800,Buffet
Salg,450,02.01.2018 14:21,,60,1250,Buffet
Salg,1500,02.01.2018 15:59,,60,2750,Buffet
Salg,900,02.01.2018 16:11,,60,3650,Buffet
Salg,1800,02.01.2018 16:30,,60,5450,Buffet
Salg,450,02.01.2018 19:19,,60,5900,Buffet
Salg,450,02.01.2018 20:10,,60,6350,Buffet
Salg,500,02.01.2018 21:32,,60,6850,Buffet
Salg,1000,02.01.2018 23:18,,60,7850,Buffet
Gebyr,540,03.01.2018 03:03,Gebyr,,7310,Gebyrer
Overførsel,7310,03.01.2018 03:03,Udbetaling til konto,540,0,Overførsel
Salg,900,03.01.2018 13:20,,60,900,Buffet
Salg,1100,03.01.2018 13:58,,60,2000,Buffet
Salg,1300,03.01.2018 15:42,,60,3300,Buffet
Salg,500,03.01.2018 15:42,,60,3800,Buffet
Salg,500,03.01.2018 16:59,,60,4300,Buffet
Salg,1400,03.01.2018 18:46,,60,5700,Buffet
Salg,1400,03.01.2018 18:47,,60,7100,Buffet
Gebyr,420,04.01.2018 03:03,Gebyr,,6680,Gebyrer
Overførsel,6680,04.01.2018 03:03,Udbetaling til konto,420,0,Overførsel
Salg,1000,04.01.2018 13:08,,60,1000,Buffet
Salg,500,04.01.2018 13:59,,60,1500,Buffet
Salg,500,04.01.2018 15:35,,60,2000,Buffet
Salg,1000,04.01.2018 15:38,,60,3000,Buffet
Salg,1500,04.01.2018 16:06,,60,4500,Buffet
Salg,500,04.01.2018 16:29,,60,5000,Buffet
Gebyr,360,05.01.2018 03:03,Gebyr,,4640,Gebyrer
Overførsel,4640,05.01.2018 03:03,Udbetaling til konto,360,0,Overførsel
Salg,1600,05.01.2018 12:16,,60,1600,Buffet
Salg,500,05.01.2018 12:16,,60,2100,Buffet
Salg,900,05.01.2018 17:15,,60,3000,Buffet
Gebyr,180,06.01.2018 03:03,Gebyr,,2820,Gebyrer
Overførsel,2820,06.01.2018 03:03,Udbetaling til konto,180,0,Overførsel
Salg,500,06.01.2018 12:55,,60,500,Buffet
Salg,1800,06.01.2018 19:13,,60,2300,Buffet
Gebyr,120,07.01.2018 03:03,Gebyr,,2180,Gebyrer
Overførsel,2180,07.01.2018 03:03,Udbetaling til konto,120,0,Overførsel
Salg,450,08.01.2018 10:04,,60,450,Buffet
Salg,400,08.01.2018 14:15,,60,850,Buffet
Salg,900,08.01.2018 14:21,Toast,60,1750,Buffet
Salg,900,08.01.2018 14:23,,60,2650,Buffet
Salg,450,08.01.2018 15:12,,60,3100,Buffet
