kind,amount,dt,msg,fee,balance,category
Gebyr,150,01.10.2018 03:11,Gebyr,,1450,Gebyrer
Overførsel,1450,01.10.2018 03:11,Udbetaling til konto,150,0,Overførsel
Salg,1400,01.10.2018 10:06,,75,1400,Buffet
Salg,500,01.10.2018 12:08,,75,1900,Buffet
Salg,500,01.10.2018 12:12,,75,2400,Buffet
Salg,800,01.10.2018 12:49,,75,3200,Buffet
Salg,900,01.10.2018 13:11,,75,4100,Buffet
Salg,300,01.10.2018 13:16,,75,4400,Buffet
Salg,150,01.10.2018 13:16,,75,4550,Buffet
Salg,300,01.10.2018 13:19,,75,4850,Buffet
Salg,150,01.10.2018 13:22,,75,5000,Buffet
Salg,1000,01.10.2018 14:58,Mælkesnitter,75,6000,Buffet
Salg,1000,01.10.2018 15:04,,75,7000,Buffet
Salg,400,01.10.2018 15:33,,75,7400,Buffet
Salg,1500,01.10.2018 15:37,Kort,75,8900,Kort
Salg,300,01.10.2018 16:00,,75,9200,Buffet
Salg,500,01.10.2018 19:52,,75,9700,Buffet
Salg,1000,01.10.2018 20:15,,75,10700,Buffet
Gebyr,1200,02.10.2018 03:11,Gebyr,,9500,Gebyrer
Overførsel,9500,02.10.2018 03:11,Udbetaling til konto,1200,0,Overførsel
Salg,1500,02.10.2018 09:04,,75,1500,Buffet
Salg,150,02.10.2018 09:11,,75,1650,Buffet
Salg,600,02.10.2018 09:32,,75,2250,Buffet
Salg,2400,02.10.2018 09:44,,75,4650,Buffet
Salg,1500,02.10.2018 09:45,,75,6150,Buffet
Salg,1500,02.10.2018 10:39,,75,7650,Buffet
Salg,400,02.10.2018 11:51,,75,8050,Buffet
Salg,400,02.10.2018 12:10,,75,8450,Buffet
Salg,400,02.10.2018 12:11,,75,8850,Buffet
Salg,900,02.10.2018 12:29,,75,9750,Buffet
Salg,1000,02.10.2018 12:56,,75,10750,Buffet
Salg,1000,02.10.2018 13:02,,75,11750,Buffet
Salg,500,02.10.2018 14:20,,75,12250,Buffet
Salg,1000,02.10.2018 14:49,,75,13250,Buffet
Salg,1000,02.10.2018 14:55,,75,14250,Buffet
