kind,amount,dt,msg,fee,balance,category
Salg,500,03.09.2018 17:10,,75,500,Buffet
Gebyr,75,04.09.2018 05:23,Gebyr,,425,Gebyrer
Overførsel,425,04.09.2018 05:23,Udbetaling til konto,75,0,Overførsel
Salg,800,04.09.2018 09:13,,75,800,Buffet
Salg,400,04.09.2018 11:01,,75,1200,Buffet
Salg,500,04.09.2018 11:04,,75,1700,Buffet
Salg,600,04.09.2018 12:15,,75,2300,Buffet
Salg,1000,04.09.2018 12:16,,75,3300,Buffet
Salg,1200,04.09.2018 12:22,,75,4500,Buffet
Salg,600,04.09.2018 12:36,,75,5100,Buffet
Salg,400,04.09.2018 15:04,,75,5500,Buffet
Salg,400,04.09.2018 15:04,,75,5900,Buffet
Salg,500,04.09.2018 17:12,,75,6400,Buffet
Salg,1150,04.09.2018 17:25,,75,7550,Buffet
Gebyr,825,05.09.2018 03:10,Gebyr,,6725,Gebyrer
Overførsel,6725,05.09.2018 03:10,Udbetaling til konto,825,0,Overførsel
Salg,800,05.09.2018 10:10,,75,800,Buffet
Salg,500,05.09.2018 10:45,,75,1300,Buffet
Salg,500,05.09.2018 10:45,,75,1800,Buffet
Salg,400,05.09.2018 10:52,,75,2200,Buffet
Salg,500,05.09.2018 14:19,,75,2700,Buffet
Salg,1500,05.09.2018 15:46,,75,4200,Buffet
Salg,2400,05.09.2018 16:09,,75,6600,Buffet
Gebyr,525,06.09.2018 03:10,Gebyr,,6075,Gebyrer
Overførsel,6075,06.09.2018 03:10,Udbetaling til konto,525,0,Overførsel
Salg,1000,06.09.2018 10:13,,75,1000,Buffet
Salg,1900,06.09.2018 12:28,,75,2900,Buffet
Salg,500,06.09.2018 12:29,Toast,75,3400,Buffet
Salg,500,06.09.2018 15:05,,75,3900,Buffet
Salg,500,06.09.2018 15:05,Toast,75,4400,Buffet
Salg,1000,06.09.2018 15:41,,75,5400,Buffet
Salg,1400,06.09.2018 16:02,,75,6800,Buffet
Gebyr,525,07.09.2018 03:11,Gebyr,,6275,Gebyrer
Overførsel,6275,07.09.2018 03:11,Udbetaling til konto,525,0,Overførsel
Salg,1000,07.09.2018 14:12,,75,1000,Buffet
Salg,500,07.09.2018 14:12,,75,1500,Buffet
Salg,500,07.09.2018 14:12,,75,2000,Buffet
Salg,2400,07.09.2018 14:42,Øl to stk rå,75,4400,Øl & Vand
Salg,900,07.09.2018 17:25,,75,5300,Buffet
Gebyr,375,08.09.2018 03:11,Gebyr,,4925,Gebyrer
Overførsel,4925,08.09.2018 03:11,Udbetaling til konto,375,0,Overførsel
Salg,1000,09.09.2018 12:44,,75,1000,Buffet
Gebyr,75,10.09.2018 03:11,Gebyr,,925,Gebyrer
Overførsel,925,10.09.2018 03:11,Udbetaling til konto,75,0,Overførsel
Salg,1000,10.09.2018 12:31,,75,1000,Buffet
Salg,1500,10.09.2018 15:06,,75,2500,Buffet
Salg,400,10.09.2018 15:50,,75,2900,Buffet
Salg,400,10.09.2018 18:42,,75,3300,Buffet
Salg,8000,10.09.2018 22:30,Snaps,75,11300,Øl & Vand
Gebyr,375,11.09.2018 03:10,Gebyr,,10925,Gebyrer
Overførsel,10925,11.09.2018 03:10,Udbetaling til konto,375,0,Overførsel
Salg,1000,11.09.2018 09:07,,75,1000,Buffet
Salg,500,11.09.2018 10:33,,75,1500,Buffet
Salg,800,11.09.2018 10:42,,75,2300,Buffet
Salg,500,11.09.2018 10:57,,75,2800,Buffet
Salg,900,11.09.2018 10:57,,75,3700,Buffet
Salg,500,11.09.2018 10:59,,75,4200,Buffet
Salg,500,11.09.2018 12:06,,75,4700,Buffet
Salg,1500,11.09.2018 12:14,,75,6200,Buffet
Salg,1000,11.09.2018 12:14,,75,7200,Buffet
Salg,500,11.09.2018 12:17,,75,7700,Buffet
Salg,1400,11.09.2018 12:18,,75,9100,Buffet
Salg,1500,11.09.2018 12:18,,75,10600,Buffet
Salg,1400,11.09.2018 12:29,,75,12000,Buffet
Salg,500,11.09.2018 13:03,,75,12500,Buffet
Salg,500,11.09.2018 13:17,,75,13000,Buffet
Salg,1000,11.09.2018 13:29,,75,14000,Buffet
Salg,1400,11.09.2018 15:06,,75,15400,Buffet
Salg,400,11.09.2018 15:27,,75,15800,Buffet
Salg,550,11.09.2018 15:40,,75,16350,Buffet
Salg,400,11.09.2018 16:05,,75,16750,Buffet
Salg,2000,11.09.2018 17:08,,75,18750,Buffet
Salg,500,11.09.2018 17:24,,75,19250,Buffet
Salg,1400,11.09.2018 18:51,,75,20650,Buffet
Salg,1400,11.09.2018 19:16,,75,22050,Buffet
Salg,1400,11.09.2018 19:20,,75,23450,Buffet
Salg,1400,11.09.2018 20:25,Redbull,75,24850,Øl & Vand
Salg,1400,11.09.2018 21:52,,75,26250,Buffet
Gebyr,2025,12.09.2018 03:10,Gebyr,,24225,Gebyrer
Overførsel,24225,12.09.2018 03:10,Udbetaling til konto,2025,0,Overførsel
