"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Salg";10,00;03-04-2018;12:25;"";0,75;10,00
"Salg";10,00;03-04-2018;12:44;"";0,75;20,00
"Salg";14,00;03-04-2018;13:07;"";0,75;34,00
"Salg";5,00;03-04-2018;13:11;"";0,75;39,00
"Salg";14,00;03-04-2018;15:11;"";0,75;53,00
"Gebyr";3,75;04-04-2018;03:07;"Gebyr";;49,25
"Overførsel";49,25;04-04-2018;03:07;"Udbetaling til konto";3,75;0,00
"Salg";12,00;04-04-2018;08:58;"";0,75;12,00
"Salg";10,00;04-04-2018;11:40;"";0,75;22,00
"Salg";10,00;04-04-2018;11:43;"";0,75;32,00
"Salg";10,00;04-04-2018;11:46;"";0,75;42,00
"Salg";10,00;04-04-2018;12:20;"";0,75;52,00
"Salg";55,00;04-04-2018;13:13;"";0,75;107,00
"Salg";19,00;04-04-2018;13:15;"";0,75;126,00
"Salg";10,00;04-04-2018;13:16;"";0,75;136,00
"Salg";5,00;04-04-2018;13:47;"";0,75;141,00
"Salg";14,00;04-04-2018;14:45;"";0,75;155,00
"Salg";9,00;04-04-2018;14:58;"";0,75;164,00
"Salg";28,00;04-04-2018;15:22;"";0,75;192,00
"Salg";3,00;04-04-2018;16:21;"";0,75;195,00
"Gebyr";9,75;05-04-2018;03:07;"Gebyr";;185,25
"Overførsel";185,25;05-04-2018;03:07;"Udbetaling til konto";9,75;0,00
"Salg";14,00;05-04-2018;09:38;"";0,75;14,00
"Salg";10,00;05-04-2018;14:28;"";0,75;24,00
"Salg";5,00;05-04-2018;14:47;"";0,75;29,00
"Salg";5,00;05-04-2018;15:24;"";0,75;34,00
"Salg";50,00;05-04-2018;15:37;"";0,75;84,00
"Salg";10,00;05-04-2018;16:53;"Yoghurt";0,75;94,00
"Gebyr";4,50;06-04-2018;03:07;"Gebyr";;89,50
"Overførsel";89,50;06-04-2018;03:07;"Udbetaling til konto";4,50;0,00
"Salg";50,00;06-04-2018;14:23;"";0,75;50,00
"Salg";5,00;06-04-2018;14:23;"";0,75;55,00
"Salg";15,00;06-04-2018;14:27;"Sodavand";0,75;70,00
"Salg";10,00;06-04-2018;14:53;"";0,75;80,00
"Salg";10,00;06-04-2018;16:44;"";0,75;90,00
"Salg";10,00;06-04-2018;17:18;"";0,75;100,00
"Gebyr";4,50;07-04-2018;03:08;"Gebyr";;95,50
"Overførsel";95,50;07-04-2018;03:08;"Udbetaling til konto";4,50;0,00
"Salg";10,00;07-04-2018;08:59;"";0,75;10,00
"Salg";10,00;07-04-2018;23:20;"";0,75;20,00
"Salg";5,00;07-04-2018;23:27;"";0,75;25,00
"Gebyr";2,25;08-04-2018;03:07;"Gebyr";;22,75
"Overførsel";22,75;08-04-2018;03:07;"Udbetaling til konto";2,25;0,00
"Salg";10,00;09-04-2018;13:08;"";0,75;10,00
"Salg";10,00;09-04-2018;14:22;"";0,75;20,00
"Salg";4,00;09-04-2018;22:11;"";0,75;24,00
"Salg";4,00;09-04-2018;22:12;"";0,75;28,00
"Gebyr";3,00;10-04-2018;03:06;"Gebyr";;25,00
"Overførsel";25,00;10-04-2018;03:06;"Udbetaling til konto";3,00;0,00
"Salg";14,00;10-04-2018;11:19;"";0,75;14,00
"Salg";10,00;10-04-2018;12:55;"";0,75;24,00
"Salg";15,00;10-04-2018;14:51;"";0,75;39,00
"Salg";5,00;10-04-2018;14:52;"";0,75;44,00
"Salg";18,00;10-04-2018;17:41;"";0,75;62,00
"Salg";10,00;10-04-2018;19:02;"";0,75;72,00
"Salg";30,00;10-04-2018;19:03;"Toast og yoggi";0,75;102,00
"Salg";14,00;10-04-2018;19:54;"";0,75;116,00
"Gebyr";6,00;11-04-2018;03:06;"Gebyr";;110,00
"Overførsel";110,00;11-04-2018;03:06;"Udbetaling til konto";6,00;0,00
"Salg";15,00;11-04-2018;14:11;"";0,75;15,00
"Salg";10,00;11-04-2018;14:12;"";0,75;25,00
"Salg";8,00;11-04-2018;14:42;"";0,75;33,00
"Salg";5,00;11-04-2018;15:33;"";0,75;38,00
"Salg";9,00;11-04-2018;16:38;"";0,75;47,00
"Salg";5,00;11-04-2018;16:40;"";0,75;52,00
"Salg";19,00;11-04-2018;17:19;"Snask fra køleren";0,75;71,00
"Salg";5,00;11-04-2018;18:01;"";0,75;76,00
"Gebyr";6,00;12-04-2018;03:07;"Gebyr";;70,00
"Overførsel";70,00;12-04-2018;03:07;"Udbetaling til konto";6,00;0,00
"Salg";20,00;12-04-2018;15:34;"";0,75;20,00
"Gebyr";0,75;13-04-2018;03:06;"Gebyr";;19,25
"Overførsel";19,25;13-04-2018;03:06;"Udbetaling til konto";0,75;0,00
"Salg";16,00;13-04-2018;15:31;"Øl";0,75;16,00
"Salg";60,00;13-04-2018;15:45;"Øl x5";0,75;76,00
"Salg";14,00;13-04-2018;16:40;"";0,75;90,00
"Salg";32,00;13-04-2018;19:21;"Øl";0,75;122,00
"Gebyr";3,00;14-04-2018;03:07;"Gebyr";;119,00
"Overførsel";119,00;14-04-2018;03:07;"Udbetaling til konto";3,00;0,00
"Salg";5,00;16-04-2018;10:58;"";0,75;5,00
"Salg";5,00;16-04-2018;10:59;"";0,75;10,00
"Gebyr";1,50;17-04-2018;03:19;"Gebyr";;8,50
"Overførsel";8,50;17-04-2018;03:19;"Udbetaling til konto";1,50;0,00
"Salg";5,00;18-04-2018;08:44;"Yoghurt";0,75;5,00
"Gebyr";0,75;19-04-2018;03:05;"Gebyr";;4,25
"Overførsel";4,25;19-04-2018;03:05;"Udbetaling til konto";0,75;0,00
"Salg";14,00;20-04-2018;14:13;"";0,75;14,00
"Salg";6,00;20-04-2018;16:59;"";0,75;20,00
"Gebyr";1,50;21-04-2018;03:08;"Gebyr";;18,50
"Overførsel";18,50;21-04-2018;03:08;"Udbetaling til konto";1,50;0,00
"Salg";5,00;21-04-2018;10:55;"";0,75;5,00
"Salg";5,00;21-04-2018;10:58;"";0,75;10,00
"Salg";5,00;21-04-2018;16:55;"Ketchup og kærlighed, FysikRevy^TM";0,75;15,00
"Salg";20,00;21-04-2018;21:34;"";0,75;35,00
"Gebyr";3,00;22-04-2018;03:07;"Gebyr";;32,00
"Overførsel";32,00;22-04-2018;03:07;"Udbetaling til konto";3,00;0,00
"Salg";6,00;23-04-2018;12:21;"Frokost";0,75;6,00
"Salg";8,00;23-04-2018;13:41;"";0,75;14,00
"Salg";10,00;23-04-2018;14:55;"";0,75;24,00
"Salg";5,00;23-04-2018;15:44;"";0,75;29,00
"Salg";5,00;23-04-2018;16:40;"";0,75;34,00
"Gebyr";3,75;24-04-2018;09:26;"Gebyr";;30,25
"Overførsel";30,25;24-04-2018;09:26;"Udbetaling til konto";3,75;0,00
"Salg";5,00;24-04-2018;10:06;"";0,75;5,00
"Salg";5,00;24-04-2018;12:23;"";0,75;10,00
"Salg";21,00;24-04-2018;12:28;"";0,75;31,00
"Salg";10,00;24-04-2018;12:55;"";0,75;41,00
"Salg";10,00;24-04-2018;13:11;"";0,75;51,00
"Salg";14,00;24-04-2018;13:18;"";0,75;65,00
"Salg";10,00;24-04-2018;14:08;"";0,75;75,00
"Salg";5,00;24-04-2018;14:08;"";0,75;80,00
"Salg";5,00;24-04-2018;14:10;"";0,75;85,00
"Salg";10,00;24-04-2018;14:12;"";0,75;95,00
"Salg";10,00;24-04-2018;15:17;"";0,75;105,00
"Salg";5,00;24-04-2018;15:56;"";0,75;110,00
"Salg";5,00;24-04-2018;16:24;"";0,75;115,00
"Salg";5,00;24-04-2018;16:30;"";0,75;120,00
"Salg";5,00;24-04-2018;16:30;"";0,75;125,00
"Salg";10,00;24-04-2018;16:56;"";0,75;135,00
"Salg";5,00;24-04-2018;20:12;"";0,75;140,00
"Gebyr";12,75;25-04-2018;03:05;"Gebyr";;127,25
"Overførsel";127,25;25-04-2018;03:05;"Udbetaling til konto";12,75;0,00
"Salg";15,00;25-04-2018;12:44;"";0,75;15,00
"Salg";12,00;25-04-2018;12:45;"";0,75;27,00
"Salg";5,00;25-04-2018;12:45;"";0,75;32,00
"Salg";5,00;25-04-2018;12:45;"";0,75;37,00
"Salg";15,00;25-04-2018;14:20;"";0,75;52,00
"Salg";3,00;25-04-2018;16:13;"";0,75;55,00
"Salg";14,00;25-04-2018;16:32;"";0,75;69,00
"Gebyr";5,25;26-04-2018;03:08;"Gebyr";;63,75
"Overførsel";63,75;26-04-2018;03:08;"Udbetaling til konto";5,25;0,00
"Salg";4,00;26-04-2018;11:02;"";0,75;4,00
"Salg";6,00;26-04-2018;12:08;"";0,75;10,00
"Salg";1,50;26-04-2018;12:21;"";0,75;11,50
"Salg";6,00;26-04-2018;15:17;"";0,75;17,50
"Salg";4,00;26-04-2018;15:29;"";0,75;21,50
"Salg";10,00;26-04-2018;16:09;"";0,75;31,50
"Gebyr";4,50;27-04-2018;03:05;"Gebyr";;27,00
"Overførsel";27,00;27-04-2018;03:05;"Udbetaling til konto";4,50;0,00
"Salg";10,00;27-04-2018;12:14;"";0,75;10,00
"Salg";10,00;27-04-2018;13:41;"";0,75;20,00
"Gebyr";1,50;28-04-2018;03:06;"Gebyr";;18,50
"Overførsel";18,50;28-04-2018;03:06;"Udbetaling til konto";1,50;0,00
"Salg";3,00;28-04-2018;10:47;"";0,75;3,00
"Salg";14,00;28-04-2018;11:38;"";0,75;17,00
"Gebyr";1,50;29-04-2018;03:05;"Gebyr";;15,50
"Overførsel";15,50;29-04-2018;03:05;"Udbetaling til konto";1,50;0,00
"Salg";10,00;29-04-2018;12:35;"";0,75;10,00
"Salg";5,00;29-04-2018;18:03;"";0,75;15,00
"Gebyr";1,50;30-04-2018;03:05;"Gebyr";;13,50
"Overførsel";13,50;30-04-2018;03:05;"Udbetaling til konto";1,50;0,00
"Salg";14,00;30-04-2018;10:34;"";0,75;14,00
"Salg";15,00;30-04-2018;12:23;"";0,75;29,00
"Salg";5,00;30-04-2018;14:26;"";0,75;34,00
"Salg";20,00;30-04-2018;14:31;"";0,75;54,00
"Salg";10,00;30-04-2018;15:54;"";0,75;64,00
"Salg";15,00;30-04-2018;16:03;"";0,75;79,00
"Salg";5,00;30-04-2018;16:30;"";0,75;84,00
"Salg";10,00;30-04-2018;16:32;"";0,75;94,00
"Salg";5,00;30-04-2018;16:56;"";0,75;99,00
"Salg";5,00;30-04-2018;17:43;"";0,75;104,00
"Salg";5,00;30-04-2018;18:42;"";0,75;109,00
"Salg";10,00;30-04-2018;22:57;"";0,75;119,00
