Report Type,Total Sales,Total Vends
1,152.37,10
2,39.99,3
3,129.53,9
4,234.31,16
5,295.27,18
6,433.42,30
7,407.35,29
8,141.93,9
9,175.47,12
10,384.16,26
11,239.3,17
12,598.62,41
13,709.86,49
14,125.74,10
15,52.39,3
16,40.01,3
17,140.04,10
18,182.89,11
19,71.45,5
20,54.3,4
21,112.4,8
22,14.29,1
23,144.79,9
24,276.86,18
25,42.87,3
26,180.98,10
27,143.3,10
28,162.14,10
29,143.5,10
30,66.88,4
Total,5896.41,398
