Report Type,Total Sales,Total Vends
1,214,17
2,290,23
3,110,9
4,104,8
5,242,19
6,390,34
7,194,14
8,240,19
9,520,42
10,44,3
11,94,5
12,216,15
13,72,6
14,280,17
15,66,5
16,606,47
17,120,10
18,38,3
19,164,13
20,312,18
21,380,24
22,272,19
23,792,50
24,114,6
25,74,4
26,64,4
27,292,22
28,42,3
29,1210,86
30,250,20
Total,7806,565
