Report Type,Total Sales,Total Vends
1,14.29,1
2,23.81,1
3,210.5,18
4,1561,135
5,215.26,12
6,679.14,50
7,1136.23,94
8,303.82,20
9,0,0
10,111.45,9
11,2071.34,184
12,114.26,11
13,128.57,11
14,95.2,10
15,0,0
16,57.14,5
17,66.64,7
18,963.91,85
19,80.01,7
20,522.87,42
21,344,28
22,392,24
23,0,0
24,40,2
25,1212,99
26,392,28
27,90,6
28,42,3
29,42,3
30,0,0
Total,10909.44,895
