Report Type,Total Sales,Total Vends
1,23.81,1
2,381.78,25
3,85.74,6
4,177.87,12
5,104.91,6
6,546.13,35
7,100.76,7
8,292.64,18
9,316.65,27
10,67.34,4
11,194.31,11
12,178.07,11
13,53.32,4
14,119.03,9
15,479.95,37
16,109.52,8
17,53.32,4
18,190.45,15
19,114.28,10
20,409.47,34
21,161.85,15
22,96.17,7
23,394.2,28
24,133.3,10
25,13.33,1
26,133.3,10
27,158.06,12
28,180.92,12
29,143.78,10
30,13.33,1
Total,5427.59,390
