Report Type,Total Sales,Total Vends
1,0,0
2,13.33,1
3,39.99,3
4,0,0
5,26.66,2
6,0,0
7,0,0
8,0,0
9,0,0
10,13.33,1
11,26.66,2
12,119.97,9
13,66.65,5
14,53.32,4
15,0,0
16,63.8,4
17,13.33,1
18,13.33,1
19,26.66,2
20,0,0
21,63.8,4
22,95.24,4
23,0,0
24,23.81,1
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
Total,659.88,44
