"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";20,00;01-04-2019;08:21;"";0,60;
"Salg";10,00;01-04-2019;15:32;"Tååååååååååååst x2";0,60;
"Gebyr";-1,20;01-04-2019;23:59;"Gebyr";;
"Overførsel";28,80;01-04-2019;23:59;"Udbetaling til konto";1,20;
"Salg";10,00;02-04-2019;11:50;"";0,60;
"Salg";10,00;02-04-2019;13:19;"";0,60;
"Salg";10,00;02-04-2019;15:28;"";0,60;
"Salg";13,00;02-04-2019;16:36;"";0,60;
"Gebyr";-2,40;02-04-2019;23:59;"Gebyr";;
"Overførsel";40,60;02-04-2019;23:59;"Udbetaling til konto";2,40;
"Salg";12,00;03-04-2019;11:27;"";0,60;
"Salg";12,00;03-04-2019;17:14;"";0,60;
"Salg";3,00;03-04-2019;19:10;"";0,60;
"Salg";4,50;03-04-2019;19:25;"";0,60;
"Gebyr";-2,40;03-04-2019;23:59;"Gebyr";;
"Overførsel";29,10;03-04-2019;23:59;"Udbetaling til konto";2,40;
"Salg";10,00;04-04-2019;14:26;"";0,60;
"Salg";24,00;04-04-2019;15:47;"Øl";0,60;
"Salg";6,00;04-04-2019;16:39;"";0,60;
"Salg";18,00;04-04-2019;19:56;"";0,60;
"Gebyr";-2,40;04-04-2019;23:59;"Gebyr";;
"Overførsel";55,60;04-04-2019;23:59;"Udbetaling til konto";2,40;
"Salg";3,00;05-04-2019;13:48;"";0,60;
"Gebyr";-0,60;05-04-2019;23:59;"Gebyr";;
"Overførsel";2,40;05-04-2019;23:59;"Udbetaling til konto";0,60;
"Salg";5,00;16-04-2019;11:36;"";0,60;
"Gebyr";-0,60;16-04-2019;23:59;"Gebyr";;
"Overførsel";4,40;16-04-2019;23:59;"Udbetaling til konto";0,60;
"Salg";5,00;17-04-2019;13:28;"";0,60;
"Salg";14,00;17-04-2019;19:13;"";0,60;
"Salg";42,00;17-04-2019;21:25;"";0,60;
"Gebyr";-1,80;17-04-2019;23:59;"Gebyr";;
"Overførsel";59,20;17-04-2019;23:59;"Udbetaling til konto";1,80;
"Salg";13,00;23-04-2019;10:56;"";0,60;
"Salg";15,00;23-04-2019;10:59;"";0,60;
"Salg";8,00;23-04-2019;11:14;"";0,60;
"Salg";18,00;23-04-2019;12:10;"";0,60;
"Salg";11,00;23-04-2019;12:41;"";0,60;
"Salg";8,00;23-04-2019;13:56;"";0,60;
"Salg";5,00;23-04-2019;14:28;"";0,60;
"Salg";8,00;23-04-2019;15:09;"";0,60;
"Salg";5,00;23-04-2019;19:18;"";0,60;
"Salg";5,00;23-04-2019;19:19;"";0,60;
"Salg";5,00;23-04-2019;19:19;"";0,60;
"Gebyr";-6,60;23-04-2019;23:59;"Gebyr";;
"Overførsel";94,40;23-04-2019;23:59;"Udbetaling til konto";6,60;
