kind,amount,dt,msg,fee,category
Salg,800,01.03.2019 09:35,,60,Buffet
Salg,800,01.03.2019 12:44,,60,Buffet
Salg,1300,01.03.2019 16:58,,60,Buffet
Salg,1300,01.03.2019 17:07,,60,Buffet
Salg,500,01.03.2019 18:24,,60,Buffet
Gebyr,-300,02.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,4400,02.03.2019 00:59,Udbetaling til konto,300,Overførsel
Salg,1300,04.03.2019 11:14,,60,Buffet
Salg,1500,04.03.2019 12:40,Rissifrutti,60,Buffet
Salg,3200,04.03.2019 12:56,,60,Buffet
Salg,800,04.03.2019 13:00,,60,Buffet
Salg,1600,04.03.2019 13:03,,60,Buffet
Salg,800,04.03.2019 13:03,,60,Buffet
Salg,650,04.03.2019 13:12,,60,Buffet
Salg,650,04.03.2019 13:31,,60,Buffet
Salg,800,04.03.2019 13:49,,60,Buffet
Salg,2400,04.03.2019 14:10,,60,Buffet
Salg,1300,04.03.2019 15:13,,60,Buffet
Salg,1300,04.03.2019 15:55,,60,Buffet
Salg,1800,04.03.2019 18:46,Frokost special,60,Buffet
Salg,1600,04.03.2019 19:10,,60,Buffet
Salg,1200,04.03.2019 22:02,,60,Buffet
Salg,500,04.03.2019 22:03,,60,Buffet
Salg,800,04.03.2019 22:13,,60,Buffet
Salg,2400,04.03.2019 23:25,,60,Buffet
Gebyr,-1080,05.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,23520,05.03.2019 00:59,Udbetaling til konto,1080,Overførsel
Salg,1300,05.03.2019 11:20,,60,Buffet
Salg,400,05.03.2019 11:56,,60,Buffet
Salg,800,05.03.2019 12:18,,60,Buffet
Salg,2000,05.03.2019 12:53,,60,Buffet
Salg,2500,05.03.2019 13:11,,60,Buffet
Salg,3200,05.03.2019 13:23,,60,Buffet
Salg,1200,05.03.2019 14:08,,60,Buffet
Salg,1000,05.03.2019 14:11,2x toast,60,Buffet
Salg,1000,05.03.2019 14:12,,60,Buffet
Salg,800,05.03.2019 16:14,,60,Buffet
Salg,1200,05.03.2019 16:15,,60,Buffet
Salg,2000,05.03.2019 16:19,,60,Buffet
