kind,amount,dt,msg,fee,category
Salg,1400,02.01.2019 14:13,Fuzetea,75,Øl & Vand
Salg,800,02.01.2019 16:47,,75,Buffet
Gebyr,-150,03.01.2019 03:03,Gebyr,,Gebyrer
Overførsel,2050,03.01.2019 03:03,Udbetaling til konto,150,Overførsel
Salg,1400,03.01.2019 11:42,,75,Buffet
Salg,1400,03.01.2019 11:43,,75,Buffet
Salg,600,03.01.2019 14:24,,75,Buffet
Salg,600,03.01.2019 15:32,,75,Buffet
Salg,1100,03.01.2019 15:33,,75,Buffet
Salg,400,03.01.2019 17:23,,75,Buffet
Salg,1000,03.01.2019 18:18,,75,Buffet
Gebyr,-525,04.01.2019 03:04,Gebyr,,Gebyrer
Overførsel,5975,04.01.2019 03:04,Udbetaling til konto,525,Overførsel
Salg,600,04.01.2019 11:41,,75,Buffet
Salg,700,04.01.2019 11:41,,75,Buffet
Salg,400,04.01.2019 13:45,,75,Buffet
Salg,1000,04.01.2019 18:42,,75,Buffet
Salg,1200,04.01.2019 19:07,,75,Buffet
Gebyr,-375,05.01.2019 03:03,Gebyr,,Gebyrer
Overførsel,3525,05.01.2019 03:03,Udbetaling til konto,375,Overførsel
Salg,500,05.01.2019 15:12,,75,Buffet
Salg,1000,05.01.2019 15:17,,75,Buffet
Salg,1000,05.01.2019 15:31,2 sandwiches,75,Buffet
Salg,1050,05.01.2019 15:33,,75,Buffet
Salg,1000,05.01.2019 17:48,,75,Buffet
Salg,1200,05.01.2019 17:50,,75,Buffet
Salg,1000,05.01.2019 18:43,,75,Buffet
Salg,450,05.01.2019 21:07,,75,Buffet
Gebyr,-600,06.01.2019 03:03,Gebyr,,Gebyrer
Overførsel,6600,06.01.2019 03:03,Udbetaling til konto,600,Overførsel
Salg,2000,06.01.2019 15:41,\ud83e\udd87,75,Buffet
Salg,200,06.01.2019 19:29,,75,Buffet
Salg,100,06.01.2019 19:48,,75,Buffet
Gebyr,-225,07.01.2019 03:03,Gebyr,,Gebyrer
Overførsel,2075,07.01.2019 03:03,Udbetaling til konto,225,Overførsel
Salg,1100,07.01.2019 13:37,,75,Buffet
Salg,400,07.01.2019 19:03,,75,Buffet
Salg,400,07.01.2019 20:41,,75,Buffet
Salg,1000,07.01.2019 21:29,,75,Buffet
Salg,1500,07.01.2019 21:29,,75,Buffet
Salg,2000,07.01.2019 21:29,,75,Buffet
Gebyr,-450,08.01.2019 00:59,Gebyr,,Gebyrer
Overførsel,5950,08.01.2019 00:59,Udbetaling til konto,450,Overførsel
Salg,2400,08.01.2019 12:51,,75,Buffet
Salg,1000,08.01.2019 13:38,,75,Buffet
Salg,1000,08.01.2019 14:21,,75,Buffet
Salg,1000,08.01.2019 15:13,,75,Buffet
Salg,1000,08.01.2019 15:31,,75,Buffet
Salg,1000,08.01.2019 15:31,,75,Buffet
Salg,1200,08.01.2019 16:17,,75,Buffet
Salg,2000,08.01.2019 16:22,,75,Buffet
Salg,2000,08.01.2019 16:22,,75,Buffet
Salg,500,08.01.2019 16:28,,75,Buffet
Salg,200,08.01.2019 17:09,,75,Buffet
Salg,500,08.01.2019 17:12,,75,Buffet
Salg,500,08.01.2019 17:14,,75,Buffet
Salg,800,08.01.2019 17:40,,75,Buffet
Salg,1000,08.01.2019 18:05,,75,Buffet
Gebyr,-1125,09.01.2019 00:59,Gebyr,,Gebyrer
Overførsel,14975,09.01.2019 00:59,Udbetaling til konto,1125,Overførsel
Salg,1000,09.01.2019 12:41,,75,Buffet
Salg,500,09.01.2019 13:19,,75,Buffet
Salg,1000,09.01.2019 13:22,,75,Buffet
Salg,1500,09.01.2019 13:39,,75,Buffet
Salg,1000,09.01.2019 14:04,,75,Buffet
Salg,1000,09.01.2019 14:07,,75,Buffet
Salg,1000,09.01.2019 14:40,,75,Buffet
Salg,1400,09.01.2019 15:43,,75,Buffet
Salg,1050,09.01.2019 16:21,,75,Buffet
Salg,1000,09.01.2019 18:29,Snitte og yuggi,75,Buffet
Salg,1500,09.01.2019 18:51,,75,Buffet
Salg,1000,09.01.2019 19:10,,75,Buffet
Salg,500,09.01.2019 20:06,,75,Buffet
Salg,500,09.01.2019 20:11,,75,Buffet
Salg,2000,10.01.2019 00:48,,75,Buffet
Gebyr,-1125,10.01.2019 00:59,Gebyr,,Gebyrer
Overførsel,14825,10.01.2019 00:59,Udbetaling til konto,1125,Overførsel
Salg,1600,10.01.2019 10:48,Toast,75,Buffet
Salg,500,10.01.2019 11:28,,75,Buffet
Salg,500,10.01.2019 12:11,,75,Buffet
