kind,amount,dt,msg,fee,category
Salg,1400,05.08.2019 09:17,Redbull,60,Øl & Vand
Gebyr,-60,05.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,1340,05.08.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,1400,06.08.2019 12:43,,60,Buffet
Salg,1400,06.08.2019 12:45,,60,Buffet
Gebyr,-120,06.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,2680,06.08.2019 23:59,Udbetaling til konto,120,Overførsel
Salg,1400,08.08.2019 13:40,,60,Buffet
Gebyr,-60,08.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,1340,08.08.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,1400,16.08.2019 12:55,,60,Buffet
Gebyr,-60,16.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,1340,16.08.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,2800,18.08.2019 11:58,,60,Buffet
Gebyr,-60,18.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,2740,18.08.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,1400,19.08.2019 09:46,,60,Buffet
Gebyr,-60,19.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,1340,19.08.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,1400,23.08.2019 12:59,Fuze tea,60,Øl & Vand
Gebyr,-60,23.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,1340,23.08.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,1500,26.08.2019 16:54,,60,Buffet
Salg,1500,26.08.2019 16:54,Kantinekort,60,Kort
Salg,1500,26.08.2019 16:55,Kantinekort,60,Kort
Gebyr,-180,26.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,4320,26.08.2019 23:59,Udbetaling til konto,180,Overførsel
Salg,1500,27.08.2019 13:03,,60,Kort
Salg,1500,27.08.2019 13:03,Kort,60,Kort
Salg,1500,27.08.2019 13:16,,60,Kort
Salg,1500,27.08.2019 13:16,,60,Kort
Salg,1500,27.08.2019 13:16,,60,Kort
Salg,1500,27.08.2019 13:19,,60,Kort
Salg,1500,27.08.2019 13:19,,60,Kort
Salg,1500,27.08.2019 13:20,,60,Kort
Salg,1500,27.08.2019 13:20,,60,Kort
Salg,1500,27.08.2019 13:20,,60,Kort
Salg,1500,27.08.2019 13:24,Lukas Frimer Tholander kort,60,Kort
Salg,1500,27.08.2019 13:24,,60,Kort
Salg,1500,27.08.2019 13:24,,60,Kort
Salg,1500,27.08.2019 13:28,,60,Kort
Salg,1500,27.08.2019 13:28,,60,Kort
Salg,1500,27.08.2019 13:28,,60,Kort
Salg,1500,27.08.2019 13:29,,60,Kort
Salg,1500,27.08.2019 13:32,,60,Kort
Salg,1500,27.08.2019 13:33,,60,Kort
Salg,1500,27.08.2019 13:33,,60,Kort
Salg,1500,27.08.2019 13:35,Kort,60,Kort
Salg,1500,27.08.2019 13:39,,60,Kort
Salg,1500,27.08.2019 13:39,,60,Kort
Salg,1500,27.08.2019 13:39,,60,Kort
Salg,1500,27.08.2019 13:42,,60,Kort
Salg,1500,27.08.2019 13:42,,60,Kort
Salg,1500,27.08.2019 13:42,,60,Kort
Salg,1500,27.08.2019 13:42,,60,Kort
Salg,1500,27.08.2019 13:42,,60,Kort
Salg,1500,27.08.2019 13:43,,60,Kort
Salg,1500,27.08.2019 13:52,,60,Kort
Salg,1500,27.08.2019 13:53,,60,Kort
Salg,1500,27.08.2019 13:59,,60,Kort
Salg,1500,27.08.2019 13:59,,60,Kort
Salg,1500,27.08.2019 13:59,,60,Kort
Salg,1500,27.08.2019 14:00,,60,Kort
Salg,1500,27.08.2019 14:00,,60,Kort
Salg,1500,27.08.2019 14:00,,60,Kort
Salg,1500,27.08.2019 14:01,,60,Kort
Salg,1500,27.08.2019 14:32,,60,Kort
Salg,1500,27.08.2019 14:32,,60,Kort
Salg,1500,27.08.2019 14:33,,60,Kort
Salg,1500,27.08.2019 14:35,,60,Kort
Salg,1500,27.08.2019 14:36,,60,Kort
Salg,1500,27.08.2019 14:42,,60,Kort
Salg,1500,27.08.2019 14:42,,60,Kort
Salg,1500,27.08.2019 14:43,,60,Kort
Salg,1500,27.08.2019 14:48,,60,Kort
Salg,1500,27.08.2019 14:49,,60,Kort
Salg,1500,27.08.2019 14:53,,60,Kort
Salg,1500,27.08.2019 14:53,,60,Kort
Salg,1500,27.08.2019 14:53,,60,Kort
Salg,1500,27.08.2019 14:53,,60,Kort
Salg,1500,27.08.2019 15:11,,60,Kort
Salg,1500,27.08.2019 15:11,,60,Kort
Salg,1500,27.08.2019 15:11,,60,Kort
Salg,1500,27.08.2019 15:34,,60,Kort
Salg,1500,27.08.2019 15:34,,60,Kort
Salg,1500,27.08.2019 15:34,,60,Kort
Salg,1500,27.08.2019 15:43,,60,Kort
Salg,1500,27.08.2019 15:44,,60,Kort
Salg,1500,27.08.2019 15:44,,60,Kort
Salg,1500,27.08.2019 16:12,,60,Kort
Salg,1500,27.08.2019 16:16,,60,Kort
Gebyr,-3840,27.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,92160,27.08.2019 23:59,Udbetaling til konto,3840,Overførsel
Salg,1400,28.08.2019 11:56,,60,Buffet
Salg,1400,28.08.2019 11:56,,60,Buffet
Salg,1400,28.08.2019 12:24,,60,Buffet
Gebyr,-180,28.08.2019 23:59,Gebyr,,Gebyrer
Overførsel,4020,28.08.2019 23:59,Udbetaling til konto,180,Overførsel
