"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";14,00;03-07-2019;09:43;"";0,60;
"Salg";14,00;03-07-2019;12:49;"";0,60;
"Salg";14,00;03-07-2019;12:51;"";0,60;
"Gebyr";-1,80;03-07-2019;23:59;"Gebyr";;
"Overførsel";40,20;03-07-2019;23:59;"Udbetaling til konto";1,80;
"Salg";14,00;08-07-2019;11:52;"";0,60;
"Gebyr";-0,60;08-07-2019;23:59;"Gebyr";;
"Overførsel";13,40;08-07-2019;23:59;"Udbetaling til konto";0,60;
"Salg";14,00;11-07-2019;11:04;"";0,60;
"Salg";15,00;11-07-2019;11:48;"";0,60;
"Gebyr";-1,20;11-07-2019;23:59;"Gebyr";;
"Overførsel";27,80;11-07-2019;23:59;"Udbetaling til konto";1,20;
"Salg";14,00;24-07-2019;20:32;"";0,60;
"Gebyr";-0,60;24-07-2019;23:59;"Gebyr";;
"Overførsel";13,40;24-07-2019;23:59;"Udbetaling til konto";0,60;
"Salg";10,00;25-07-2019;16:43;"";0,60;
"Salg";14,00;25-07-2019;20:58;"";0,60;
"Gebyr";-1,20;25-07-2019;23:59;"Gebyr";;
"Overførsel";22,80;25-07-2019;23:59;"Udbetaling til konto";1,20;
"Salg";14,00;26-07-2019;10:36;"Red bull";0,60;
"Gebyr";-0,60;26-07-2019;23:59;"Gebyr";;
"Overførsel";13,40;26-07-2019;23:59;"Udbetaling til konto";0,60;
"Salg";14,00;31-07-2019;11:03;"";0,60;
"Salg";14,00;31-07-2019;12:30;"";0,60;
"Gebyr";-1,20;31-07-2019;23:59;"Gebyr";;
"Overførsel";26,80;31-07-2019;23:59;"Udbetaling til konto";1,20;
