kind,amount,dt,msg,fee,category
Salg,1300,01.05.2019 09:34,,60,Buffet
Salg,1000,01.05.2019 10:57,Tåst,60,Buffet
Salg,1300,01.05.2019 11:06,,60,Buffet
Salg,1000,01.05.2019 12:10,,60,Buffet
Salg,1300,01.05.2019 12:11,,60,Buffet
Salg,1500,01.05.2019 12:19,,60,Buffet
Salg,600,01.05.2019 15:22,,60,Buffet
Salg,1200,01.05.2019 15:48,,60,Buffet
Salg,2000,01.05.2019 17:45,,60,Buffet
Gebyr,-540,01.05.2019 23:59,Gebyr,,Gebyrer
Overførsel,10660,01.05.2019 23:59,Udbetaling til konto,540,Overførsel
Salg,500,02.05.2019 10:33,,60,Buffet
Salg,500,02.05.2019 10:33,Toast,60,Buffet
Salg,1000,02.05.2019 10:33,,60,Buffet
Salg,1000,02.05.2019 10:34,,60,Buffet
Salg,1800,02.05.2019 10:52,,60,Buffet
Salg,500,02.05.2019 12:07,,60,Buffet
Salg,800,02.05.2019 12:07,,60,Buffet
Salg,1000,02.05.2019 13:21,,60,Buffet
Salg,1000,02.05.2019 14:25,,60,Buffet
Salg,600,02.05.2019 15:40,,60,Buffet
Salg,1000,02.05.2019 15:48,,60,Buffet
Salg,1200,02.05.2019 15:54,,60,Buffet
Salg,3000,02.05.2019 15:56,,60,Buffet
Salg,200,02.05.2019 16:28,,60,Buffet
Salg,200,02.05.2019 18:07,,60,Buffet
Gebyr,-900,02.05.2019 23:59,Gebyr,,Gebyrer
Overførsel,13400,02.05.2019 23:59,Udbetaling til konto,900,Overførsel
Salg,500,03.05.2019 09:54,,60,Buffet
Salg,1500,03.05.2019 11:43,,60,Buffet
Salg,800,03.05.2019 13:53,,60,Buffet
Salg,1600,03.05.2019 13:53,Snit snit,60,Buffet
Salg,800,03.05.2019 13:54,,60,Buffet
Salg,500,03.05.2019 14:23,Banan,60,Buffet
Salg,600,03.05.2019 14:55,,60,Buffet
Salg,1400,03.05.2019 15:22,,60,Buffet
Salg,1300,03.05.2019 16:14,,60,Buffet
Salg,1300,03.05.2019 16:43,,60,Buffet
Gebyr,-600,03.05.2019 23:59,Gebyr,,Gebyrer
Overførsel,9700,03.05.2019 23:59,Udbetaling til konto,600,Overførsel
Salg,500,04.05.2019 13:31,3xtoastbrød med pålægschokolade,60,Buffet
Salg,2900,04.05.2019 17:10,,60,Buffet
Salg,1400,04.05.2019 18:01,,60,Buffet
Gebyr,-180,04.05.2019 23:59,Gebyr,,Gebyrer
Overførsel,4620,04.05.2019 23:59,Udbetaling til konto,180,Overførsel
Salg,1200,06.05.2019 08:59,,60,Buffet
Salg,500,06.05.2019 11:56,,60,Buffet
Salg,500,06.05.2019 12:04,,60,Buffet
Salg,1500,06.05.2019 12:11,,60,Buffet
Salg,600,06.05.2019 12:33,,60,Buffet
Salg,1800,06.05.2019 13:39,,60,Buffet
Salg,400,06.05.2019 14:00,,60,Buffet
Salg,1400,06.05.2019 14:03,,60,Buffet
Salg,1400,06.05.2019 14:07,,60,Buffet
Salg,1400,06.05.2019 14:07,,60,Buffet
Salg,1500,06.05.2019 15:07,,60,Buffet
Salg,1400,06.05.2019 15:10,,60,Buffet
Salg,1800,06.05.2019 16:22,,60,Buffet
Salg,800,06.05.2019 16:27,,60,Buffet
Salg,1000,06.05.2019 16:30,,60,Buffet
Salg,300,06.05.2019 16:34,,60,Buffet
Salg,5800,06.05.2019 21:48,,60,Buffet
Gebyr,-1020,06.05.2019 23:59,Gebyr,,Gebyrer
Overførsel,22280,06.05.2019 23:59,Udbetaling til konto,1020,Overførsel
Salg,800,07.05.2019 10:07,,60,Buffet
Salg,1000,07.05.2019 11:22,,60,Buffet
Salg,500,07.05.2019 12:07,,60,Buffet
Salg,700,07.05.2019 12:17,,60,Buffet
Salg,600,07.05.2019 12:19,,60,Buffet
Salg,1200,07.05.2019 12:19,,60,Buffet
Salg,1200,07.05.2019 12:38,,60,Buffet
Salg,800,07.05.2019 12:49,,60,Buffet
Salg,1400,07.05.2019 12:50,,60,Buffet
Salg,600,07.05.2019 13:02,,60,Buffet
Salg,800,07.05.2019 13:22,,60,Buffet
Salg,800,07.05.2019 14:15,,60,Buffet
Salg,4000,07.05.2019 14:25,,60,Buffet
Salg,800,07.05.2019 15:01,,60,Buffet
Salg,1600,07.05.2019 15:02,,60,Buffet
Salg,800,07.05.2019 15:06,,60,Buffet
Salg,800,07.05.2019 15:11,,60,Buffet
Salg,500,07.05.2019 15:18,,60,Buffet
Salg,1000,07.05.2019 15:20,,60,Buffet
Salg,800,07.05.2019 17:03,,60,Buffet
Gebyr,-1200,07.05.2019 23:59,Gebyr,,Gebyrer
Overførsel,19500,07.05.2019 23:59,Udbetaling til konto,1200,Overførsel
