kind,amount,dt,msg,fee,category
Salg,1500,04.02.2019 15:01,,75,Buffet
Salg,300,04.02.2019 16:04,,75,Buffet
Salg,500,04.02.2019 16:45,,75,Buffet
Salg,1000,04.02.2019 18:27,,75,Buffet
Gebyr,-300,05.02.2019 00:59,Gebyr,,Gebyrer
Overførsel,3000,05.02.2019 00:59,Udbetaling til konto,300,Overførsel
Salg,800,05.02.2019 09:47,,75,Buffet
Salg,1300,05.02.2019 13:16,,75,Buffet
Salg,1300,05.02.2019 14:06,,75,Buffet
Salg,1000,05.02.2019 14:32,,75,Buffet
Salg,1000,05.02.2019 15:48,,75,Buffet
Salg,1300,05.02.2019 17:59,,75,Buffet
Salg,600,05.02.2019 19:37,,75,Buffet
Salg,300,05.02.2019 21:02,Brød,75,Buffet
Gebyr,-600,06.02.2019 00:59,Gebyr,,Gebyrer
Overførsel,7000,06.02.2019 00:59,Udbetaling til konto,600,Overførsel
Salg,800,06.02.2019 10:05,,75,Buffet
Salg,1600,06.02.2019 11:05,,75,Buffet
Salg,1300,06.02.2019 13:18,,75,Buffet
Salg,1500,06.02.2019 13:31,,75,Buffet
Salg,2300,06.02.2019 13:54,,75,Buffet
Salg,1200,06.02.2019 14:02,,75,Buffet
Salg,1900,06.02.2019 16:41,,75,Buffet
Salg,5000,06.02.2019 17:27,,75,Buffet
Gebyr,-600,07.02.2019 00:59,Gebyr,,Gebyrer
Overførsel,15000,07.02.2019 00:59,Udbetaling til konto,600,Overførsel
Salg,600,07.02.2019 12:42,,75,Buffet
Salg,400,07.02.2019 15:39,,75,Buffet
Salg,400,07.02.2019 16:06,,75,Buffet
Salg,1300,07.02.2019 18:15,Müsli Yogurt,75,Buffet
Gebyr,-300,08.02.2019 00:59,Gebyr,,Gebyrer
Overførsel,2400,08.02.2019 00:59,Udbetaling til konto,300,Overførsel
Salg,1300,08.02.2019 11:52,,75,Buffet
Salg,1300,08.02.2019 15:58,Yoghurt,75,Buffet
Salg,1500,08.02.2019 16:40,,75,Buffet
