"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";8,00;01-03-2019;09:35;"";0,60;
"Salg";8,00;01-03-2019;12:44;"";0,60;
"Salg";13,00;01-03-2019;16:58;"";0,60;
"Salg";13,00;01-03-2019;17:07;"";0,60;
"Salg";5,00;01-03-2019;18:24;"";0,60;
"Gebyr";-3,00;02-03-2019;00:59;"Gebyr";;
"Overførsel";44,00;02-03-2019;00:59;"Udbetaling til konto";3,00;
"Salg";13,00;04-03-2019;11:14;"";0,60;
"Salg";15,00;04-03-2019;12:40;"Rissifrutti";0,60;
"Salg";32,00;04-03-2019;12:56;"";0,60;
"Salg";8,00;04-03-2019;13:00;"";0,60;
"Salg";16,00;04-03-2019;13:03;"";0,60;
"Salg";8,00;04-03-2019;13:03;"";0,60;
"Salg";6,50;04-03-2019;13:12;"";0,60;
"Salg";6,50;04-03-2019;13:31;"";0,60;
"Salg";8,00;04-03-2019;13:49;"";0,60;
"Salg";24,00;04-03-2019;14:10;"";0,60;
"Salg";13,00;04-03-2019;15:13;"";0,60;
"Salg";13,00;04-03-2019;15:55;"";0,60;
"Salg";18,00;04-03-2019;18:46;"Frokost special";0,60;
"Salg";16,00;04-03-2019;19:10;"";0,60;
"Salg";12,00;04-03-2019;22:02;"";0,60;
"Salg";5,00;04-03-2019;22:03;"";0,60;
"Salg";8,00;04-03-2019;22:13;"";0,60;
"Salg";24,00;04-03-2019;23:25;"";0,60;
"Gebyr";-10,80;05-03-2019;00:59;"Gebyr";;
"Overførsel";235,20;05-03-2019;00:59;"Udbetaling til konto";10,80;
"Salg";13,00;05-03-2019;11:20;"";0,60;
"Salg";4,00;05-03-2019;11:56;"";0,60;
"Salg";8,00;05-03-2019;12:18;"";0,60;
"Salg";20,00;05-03-2019;12:53;"";0,60;
"Salg";25,00;05-03-2019;13:11;"";0,60;
"Salg";32,00;05-03-2019;13:23;"";0,60;
"Salg";12,00;05-03-2019;14:08;"";0,60;
"Salg";10,00;05-03-2019;14:11;"2x toast";0,60;
"Salg";10,00;05-03-2019;14:12;"";0,60;
"Salg";8,00;05-03-2019;16:14;"";0,60;
"Salg";12,00;05-03-2019;16:15;"";0,60;
"Salg";20,00;05-03-2019;16:19;"";0,60;
"Salg";8,00;05-03-2019;16:26;"";0,60;
"Salg";8,00;05-03-2019;16:26;"";0,60;
"Salg";5,00;05-03-2019;16:42;"";0,60;
"Salg";5,00;05-03-2019;17:20;"";0,60;
"Salg";4,00;05-03-2019;18:26;"";0,60;
"Salg";5,00;05-03-2019;19:26;"";0,60;
