"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";14,00;05-08-2019;09:17;"Redbull";0,60;
"Gebyr";-0,60;05-08-2019;23:59;"Gebyr";;
"Overførsel";13,40;05-08-2019;23:59;"Udbetaling til konto";0,60;
"Salg";14,00;06-08-2019;12:43;"";0,60;
"Salg";14,00;06-08-2019;12:45;"";0,60;
"Gebyr";-1,20;06-08-2019;23:59;"Gebyr";;
"Overførsel";26,80;06-08-2019;23:59;"Udbetaling til konto";1,20;
"Salg";14,00;08-08-2019;13:40;"";0,60;
"Gebyr";-0,60;08-08-2019;23:59;"Gebyr";;
"Overførsel";13,40;08-08-2019;23:59;"Udbetaling til konto";0,60;
"Salg";14,00;16-08-2019;12:55;"";0,60;
"Gebyr";-0,60;16-08-2019;23:59;"Gebyr";;
"Overførsel";13,40;16-08-2019;23:59;"Udbetaling til konto";0,60;
"Salg";28,00;18-08-2019;11:58;"";0,60;
"Gebyr";-0,60;18-08-2019;23:59;"Gebyr";;
"Overførsel";27,40;18-08-2019;23:59;"Udbetaling til konto";0,60;
"Salg";14,00;19-08-2019;09:46;"";0,60;
"Gebyr";-0,60;19-08-2019;23:59;"Gebyr";;
"Overførsel";13,40;19-08-2019;23:59;"Udbetaling til konto";0,60;
"Salg";14,00;23-08-2019;12:59;"Fuze tea";0,60;
"Gebyr";-0,60;23-08-2019;23:59;"Gebyr";;
"Overførsel";13,40;23-08-2019;23:59;"Udbetaling til konto";0,60;
"Salg";15,00;26-08-2019;16:54;"";0,60;
"Salg";15,00;26-08-2019;16:54;"Kantinekort";0,60;
"Salg";15,00;26-08-2019;16:55;"Kantinekort";0,60;
"Gebyr";-1,80;26-08-2019;23:59;"Gebyr";;
"Overførsel";43,20;26-08-2019;23:59;"Udbetaling til konto";1,80;
"Salg";15,00;27-08-2019;13:03;"";0,60;
"Salg";15,00;27-08-2019;13:03;"Kort";0,60;
"Salg";15,00;27-08-2019;13:16;"";0,60;
"Salg";15,00;27-08-2019;13:16;"";0,60;
"Salg";15,00;27-08-2019;13:16;"";0,60;
"Salg";15,00;27-08-2019;13:19;"";0,60;
"Salg";15,00;27-08-2019;13:19;"";0,60;
"Salg";15,00;27-08-2019;13:20;"";0,60;
"Salg";15,00;27-08-2019;13:20;"";0,60;
"Salg";15,00;27-08-2019;13:20;"";0,60;
"Salg";15,00;27-08-2019;13:24;"Lukas Frimer Tholander kort";0,60;
"Salg";15,00;27-08-2019;13:24;"";0,60;
"Salg";15,00;27-08-2019;13:24;"";0,60;
"Salg";15,00;27-08-2019;13:28;"";0,60;
"Salg";15,00;27-08-2019;13:28;"";0,60;
"Salg";15,00;27-08-2019;13:28;"";0,60;
"Salg";15,00;27-08-2019;13:29;"";0,60;
"Salg";15,00;27-08-2019;13:32;"";0,60;
"Salg";15,00;27-08-2019;13:33;"";0,60;
"Salg";15,00;27-08-2019;13:33;"";0,60;
"Salg";15,00;27-08-2019;13:35;"Kort";0,60;
"Salg";15,00;27-08-2019;13:39;"";0,60;
"Salg";15,00;27-08-2019;13:39;"";0,60;
"Salg";15,00;27-08-2019;13:39;"";0,60;
"Salg";15,00;27-08-2019;13:42;"";0,60;
"Salg";15,00;27-08-2019;13:42;"";0,60;
"Salg";15,00;27-08-2019;13:42;"";0,60;
"Salg";15,00;27-08-2019;13:42;"";0,60;
"Salg";15,00;27-08-2019;13:42;"";0,60;
"Salg";15,00;27-08-2019;13:43;"";0,60;
"Salg";15,00;27-08-2019;13:52;"";0,60;
"Salg";15,00;27-08-2019;13:53;"";0,60;
"Salg";15,00;27-08-2019;13:59;"";0,60;
"Salg";15,00;27-08-2019;13:59;"";0,60;
"Salg";15,00;27-08-2019;13:59;"";0,60;
"Salg";15,00;27-08-2019;14:00;"";0,60;
"Salg";15,00;27-08-2019;14:00;"";0,60;
"Salg";15,00;27-08-2019;14:00;"";0,60;
"Salg";15,00;27-08-2019;14:01;"";0,60;
"Salg";15,00;27-08-2019;14:32;"";0,60;
"Salg";15,00;27-08-2019;14:32;"";0,60;
"Salg";15,00;27-08-2019;14:33;"";0,60;
"Salg";15,00;27-08-2019;14:35;"";0,60;
"Salg";15,00;27-08-2019;14:36;"";0,60;
"Salg";15,00;27-08-2019;14:42;"";0,60;
"Salg";15,00;27-08-2019;14:42;"";0,60;
"Salg";15,00;27-08-2019;14:43;"";0,60;
"Salg";15,00;27-08-2019;14:48;"";0,60;
"Salg";15,00;27-08-2019;14:49;"";0,60;
"Salg";15,00;27-08-2019;14:53;"";0,60;
"Salg";15,00;27-08-2019;14:53;"";0,60;
"Salg";15,00;27-08-2019;14:53;"";0,60;
"Salg";15,00;27-08-2019;14:53;"";0,60;
"Salg";15,00;27-08-2019;15:11;"";0,60;
"Salg";15,00;27-08-2019;15:11;"";0,60;
"Salg";15,00;27-08-2019;15:11;"";0,60;
"Salg";15,00;27-08-2019;15:34;"";0,60;
"Salg";15,00;27-08-2019;15:34;"";0,60;
"Salg";15,00;27-08-2019;15:34;"";0,60;
"Salg";15,00;27-08-2019;15:43;"";0,60;
"Salg";15,00;27-08-2019;15:44;"";0,60;
"Salg";15,00;27-08-2019;15:44;"";0,60;
"Salg";15,00;27-08-2019;16:12;"";0,60;
"Salg";15,00;27-08-2019;16:16;"";0,60;
"Gebyr";-38,40;27-08-2019;23:59;"Gebyr";;
"Overførsel";921,60;27-08-2019;23:59;"Udbetaling til konto";38,40;
"Salg";14,00;28-08-2019;11:56;"";0,60;
"Salg";14,00;28-08-2019;11:56;"";0,60;
"Salg";14,00;28-08-2019;12:24;"";0,60;
"Gebyr";-1,80;28-08-2019;23:59;"Gebyr";;
"Overførsel";40,20;28-08-2019;23:59;"Udbetaling til konto";1,80;
