"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";14,00;02-01-2019;14:13;"Fuzetea";0,75;
"Salg";8,00;02-01-2019;16:47;"";0,75;
"Gebyr";-1,50;03-01-2019;03:03;"Gebyr";;
"Overførsel";20,50;03-01-2019;03:03;"Udbetaling til konto";1,50;
"Salg";14,00;03-01-2019;11:42;"";0,75;
"Salg";14,00;03-01-2019;11:43;"";0,75;
"Salg";6,00;03-01-2019;14:24;"";0,75;
"Salg";6,00;03-01-2019;15:32;"";0,75;
"Salg";11,00;03-01-2019;15:33;"";0,75;
"Salg";4,00;03-01-2019;17:23;"";0,75;
"Salg";10,00;03-01-2019;18:18;"";0,75;
"Gebyr";-5,25;04-01-2019;03:04;"Gebyr";;
"Overførsel";59,75;04-01-2019;03:04;"Udbetaling til konto";5,25;
"Salg";6,00;04-01-2019;11:41;"";0,75;
"Salg";7,00;04-01-2019;11:41;"";0,75;
"Salg";4,00;04-01-2019;13:45;"";0,75;
"Salg";10,00;04-01-2019;18:42;"";0,75;
"Salg";12,00;04-01-2019;19:07;"";0,75;
"Gebyr";-3,75;05-01-2019;03:03;"Gebyr";;
"Overførsel";35,25;05-01-2019;03:03;"Udbetaling til konto";3,75;
"Salg";5,00;05-01-2019;15:12;"";0,75;
"Salg";10,00;05-01-2019;15:17;"";0,75;
"Salg";10,00;05-01-2019;15:31;"2 sandwiches";0,75;
"Salg";10,50;05-01-2019;15:33;"";0,75;
"Salg";10,00;05-01-2019;17:48;"";0,75;
"Salg";12,00;05-01-2019;17:50;"";0,75;
"Salg";10,00;05-01-2019;18:43;"";0,75;
"Salg";4,50;05-01-2019;21:07;"";0,75;
"Gebyr";-6,00;06-01-2019;03:03;"Gebyr";;
"Overførsel";66,00;06-01-2019;03:03;"Udbetaling til konto";6,00;
"Salg";20,00;06-01-2019;15:41;"\ud83e\udd87";0,75;
"Salg";2,00;06-01-2019;19:29;"";0,75;
"Salg";1,00;06-01-2019;19:48;"";0,75;
"Gebyr";-2,25;07-01-2019;03:03;"Gebyr";;
"Overførsel";20,75;07-01-2019;03:03;"Udbetaling til konto";2,25;
"Salg";11,00;07-01-2019;13:37;"";0,75;
"Salg";4,00;07-01-2019;19:03;"";0,75;
"Salg";4,00;07-01-2019;20:41;"";0,75;
"Salg";10,00;07-01-2019;21:29;"";0,75;
"Salg";15,00;07-01-2019;21:29;"";0,75;
"Salg";20,00;07-01-2019;21:29;"";0,75;
"Gebyr";-4,50;08-01-2019;00:59;"Gebyr";;
"Overførsel";59,50;08-01-2019;00:59;"Udbetaling til konto";4,50;
"Salg";24,00;08-01-2019;12:51;"";0,75;
"Salg";10,00;08-01-2019;13:38;"";0,75;
"Salg";10,00;08-01-2019;14:21;"";0,75;
"Salg";10,00;08-01-2019;15:13;"";0,75;
"Salg";10,00;08-01-2019;15:31;"";0,75;
"Salg";10,00;08-01-2019;15:31;"";0,75;
"Salg";12,00;08-01-2019;16:17;"";0,75;
"Salg";20,00;08-01-2019;16:22;"";0,75;
"Salg";20,00;08-01-2019;16:22;"";0,75;
"Salg";5,00;08-01-2019;16:28;"";0,75;
