"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";15,00;04-02-2019;15:01;"";0,75;
"Salg";3,00;04-02-2019;16:04;"";0,75;
"Salg";5,00;04-02-2019;16:45;"";0,75;
"Salg";10,00;04-02-2019;18:27;"";0,75;
"Gebyr";-3,00;05-02-2019;00:59;"Gebyr";;
"Overførsel";30,00;05-02-2019;00:59;"Udbetaling til konto";3,00;
"Salg";8,00;05-02-2019;09:47;"";0,75;
"Salg";13,00;05-02-2019;13:16;"";0,75;
"Salg";13,00;05-02-2019;14:06;"";0,75;
"Salg";10,00;05-02-2019;14:32;"";0,75;
"Salg";10,00;05-02-2019;15:48;"";0,75;
"Salg";13,00;05-02-2019;17:59;"";0,75;
"Salg";6,00;05-02-2019;19:37;"";0,75;
"Salg";3,00;05-02-2019;21:02;"Brød";0,75;
"Gebyr";-6,00;06-02-2019;00:59;"Gebyr";;
"Overførsel";70,00;06-02-2019;00:59;"Udbetaling til konto";6,00;
"Salg";8,00;06-02-2019;10:05;"";0,75;
"Salg";16,00;06-02-2019;11:05;"";0,75;
"Salg";13,00;06-02-2019;13:18;"";0,75;
"Salg";15,00;06-02-2019;13:31;"";0,75;
"Salg";23,00;06-02-2019;13:54;"";0,75;
"Salg";12,00;06-02-2019;14:02;"";0,75;
"Salg";19,00;06-02-2019;16:41;"";0,75;
"Salg";50,00;06-02-2019;17:27;"";0,75;
"Gebyr";-6,00;07-02-2019;00:59;"Gebyr";;
"Overførsel";150,00;07-02-2019;00:59;"Udbetaling til konto";6,00;
"Salg";6,00;07-02-2019;12:42;"";0,75;
"Salg";4,00;07-02-2019;15:39;"";0,75;
"Salg";4,00;07-02-2019;16:06;"";0,75;
"Salg";13,00;07-02-2019;18:15;"Müsli Yogurt";0,75;
"Gebyr";-3,00;08-02-2019;00:59;"Gebyr";;
"Overførsel";24,00;08-02-2019;00:59;"Udbetaling til konto";3,00;
"Salg";13,00;08-02-2019;11:52;"";0,75;
"Salg";13,00;08-02-2019;15:58;"Yoghurt";0,75;
"Salg";15,00;08-02-2019;16:40;"";0,75;
"Salg";5,00;08-02-2019;18:18;"";0,75;
"Salg";15,00;08-02-2019;18:44;"";0,75;
"Gebyr";-3,75;09-02-2019;00:59;"Gebyr";;
"Overførsel";57,25;09-02-2019;00:59;"Udbetaling til konto";3,75;
"Salg";15,00;09-02-2019;02:22;"";0,75;
"Salg";15,00;09-02-2019;23:07;"";0,75;
"Gebyr";-1,50;10-02-2019;00:59;"Gebyr";;
"Overførsel";28,50;10-02-2019;00:59;"Udbetaling til konto";1,50;
"Salg";5,00;10-02-2019;16:41;"";0,75;
"Salg";6,00;10-02-2019;17:44;"";0,75;
"Gebyr";-1,50;11-02-2019;00:59;"Gebyr";;
"Overførsel";9,50;11-02-2019;00:59;"Udbetaling til konto";1,50;
