"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Gebyr";-6,00;05-06-2019;23:59;"Gebyr";;
"Overførsel";111,00;05-06-2019;23:59;"Udbetaling til konto";6,00;
"Salg";10,00;06-06-2019;08:36;"";0,60;
"Salg";13,00;06-06-2019;09:18;"";0,60;
"Salg";5,00;06-06-2019;10:43;"";0,60;
"Salg";5,00;06-06-2019;10:43;"";0,60;
"Salg";6,50;06-06-2019;10:44;"";0,60;
"Salg";14,00;06-06-2019;10:44;"";0,60;
"Salg";5,00;06-06-2019;11:34;"";0,60;
"Salg";10,00;06-06-2019;12:10;"";0,60;
"Salg";15,00;06-06-2019;12:41;"Toasties";0,60;
"Salg";36,00;06-06-2019;15:10;"";0,60;
"Salg";72,00;06-06-2019;15:13;"Rosé";0,60;
"Salg";10,00;06-06-2019;15:30;"";0,60;
"Salg";20,00;06-06-2019;19:23;"";0,60;
"Salg";5,00;06-06-2019;21:52;"toast \ud83e\udd6a";0,60;
"Gebyr";-8,40;06-06-2019;23:59;"Gebyr";;
"Overførsel";218,10;06-06-2019;23:59;"Udbetaling til konto";8,40;
"Salg";15,00;07-06-2019;09:34;"";0,60;
"Salg";10,00;07-06-2019;11:45;"";0,60;
"Salg";28,00;07-06-2019;12:36;"";0,60;
"Salg";6,00;07-06-2019;19:19;"";0,60;
"Salg";36,00;07-06-2019;19:46;"";0,60;
"Salg";14,00;07-06-2019;20:22;"";0,60;
"Gebyr";-3,60;07-06-2019;23:59;"Gebyr";;
"Overførsel";105,40;07-06-2019;23:59;"Udbetaling til konto";3,60;
"Salg";14,00;08-06-2019;07:23;"";0,60;
"Salg";14,00;08-06-2019;08:35;"";0,60;
"Salg";10,00;08-06-2019;12:59;"";0,60;
"Gebyr";-1,80;08-06-2019;23:59;"Gebyr";;
"Overførsel";36,20;08-06-2019;23:59;"Udbetaling til konto";1,80;
"Salg";3,00;09-06-2019;11:06;"";0,60;
"Salg";3,00;09-06-2019;18:51;"";0,60;
"Gebyr";-1,20;09-06-2019;23:59;"Gebyr";;
"Overførsel";4,80;09-06-2019;23:59;"Udbetaling til konto";1,20;
"Salg";5,00;10-06-2019;08:30;"";0,60;
"Salg";5,00;10-06-2019;10:08;"";0,60;
"Salg";8,00;10-06-2019;11:21;"";0,60;
"Salg";10,00;10-06-2019;12:28;"";0,60;
"Salg";5,00;10-06-2019;12:44;"";0,60;
"Salg";30,00;10-06-2019;13:16;"";0,60;
"Salg";4,00;10-06-2019;14:16;"";0,60;
"Salg";15,00;10-06-2019;15:16;"";0,60;
"Salg";8,00;10-06-2019;16:06;"Snit";0,60;
"Salg";5,00;10-06-2019;16:14;"";0,60;
"Salg";20,00;10-06-2019;20:37;"";0,60;
"Salg";16,00;10-06-2019;22:23;"";0,60;
"Gebyr";-7,20;10-06-2019;23:59;"Gebyr";;
"Overførsel";123,80;10-06-2019;23:59;"Udbetaling til konto";7,20;
"Salg";13,00;11-06-2019;09:16;"";0,60;
"Salg";12,00;11-06-2019;09:25;"";0,60;
"Salg";8,00;11-06-2019;10:15;"";0,60;
"Salg";13,00;11-06-2019;12:16;"";0,60;
"Salg";2,00;11-06-2019;12:43;"";0,60;
"Salg";12,00;11-06-2019;12:48;"";0,60;
"Salg";14,00;11-06-2019;15:15;"";0,60;
"Salg";8,00;11-06-2019;15:44;"Sssssssssnit";0,60;
"Salg";8,00;11-06-2019;15:44;"Kinder boiii";0,60;
"Salg";14,00;11-06-2019;15:48;"";0,60;
"Salg";10,00;11-06-2019;15:52;"";0,60;
"Salg";13,00;11-06-2019;15:55;"";0,60;
"Salg";4,00;11-06-2019;20:48;"";0,60;
"Gebyr";-7,80;11-06-2019;23:59;"Gebyr";;
"Overførsel";123,20;11-06-2019;23:59;"Udbetaling til konto";7,80;
"Salg";4,00;12-06-2019;08:39;"";0,60;
"Salg";13,00;12-06-2019;09:15;"";0,60;
"Salg";16,00;12-06-2019;10:25;"";0,60;
"Salg";16,00;12-06-2019;10:53;"";0,60;
"Salg";8,00;12-06-2019;10:56;"";0,60;
"Salg";19,00;12-06-2019;12:13;"";0,60;
"Salg";14,00;12-06-2019;13:13;"";0,60;
"Salg";14,00;12-06-2019;13:14;"";0,60;
"Salg";4,00;12-06-2019;15:00;"";0,60;
"Salg";14,00;12-06-2019;15:16;"";0,60;
"Salg";14,00;12-06-2019;15:32;"";0,60;
"Salg";10,00;12-06-2019;15:44;"Toust";0,60;
"Salg";33,00;12-06-2019;15:56;"";0,60;
"Salg";15,00;12-06-2019;18:00;"Tak Netcompany";0,60;
"Gebyr";-8,40;12-06-2019;23:59;"Gebyr";;
"Overførsel";185,60;12-06-2019;23:59;"Udbetaling til konto";8,40;
"Salg";10,00;13-06-2019;09:41;"";0,60;
"Salg";15,00;13-06-2019;12:38;"";0,60;
"Salg";15,00;13-06-2019;12:54;"";0,60;
"Salg";13,00;13-06-2019;14:11;"";0,60;
"Salg";35,00;13-06-2019;17:35;"";0,60;
"Salg";15,00;13-06-2019;18:03;"";0,60;
"Salg";10,00;13-06-2019;20:00;"";0,60;
"Gebyr";-4,20;13-06-2019;23:59;"Gebyr";;
"Overførsel";108,80;13-06-2019;23:59;"Udbetaling til konto";4,20;
"Salg";15,00;14-06-2019;01:44;"";0,60;
"Salg";8,00;14-06-2019;12:22;"";0,60;
"Salg";14,00;14-06-2019;14:47;"";0,60;
"Salg";14,00;14-06-2019;15:18;"";0,60;
"Salg";13,50;14-06-2019;15:20;"";0,60;
"Gebyr";-3,00;14-06-2019;23:59;"Gebyr";;
"Overførsel";61,50;14-06-2019;23:59;"Udbetaling til konto";3,00;
"Salg";15,00;15-06-2019;10:53;"";0,60;
"Salg";3,00;15-06-2019;13:28;"";0,60;
"Gebyr";-1,20;15-06-2019;23:59;"Gebyr";;
"Overførsel";16,80;15-06-2019;23:59;"Udbetaling til konto";1,20;
"Salg";28,00;16-06-2019;20:05;"2 ale 16";0,60;
"Gebyr";-0,60;16-06-2019;23:59;"Gebyr";;
"Overførsel";27,40;16-06-2019;23:59;"Udbetaling til konto";0,60;
"Salg";42,00;17-06-2019;11:07;"3x GT";0,60;
"Salg";14,00;17-06-2019;13:09;"";0,60;
"Salg";14,00;17-06-2019;14:40;"";0,60;
"Salg";14,00;17-06-2019;14:42;"";0,60;
"Salg";13,00;17-06-2019;15:41;"";0,60;
"Salg";42,00;17-06-2019;16:58;"3 ale 16";0,60;
"Gebyr";-3,60;17-06-2019;23:59;"Gebyr";;
"Overførsel";135,40;17-06-2019;23:59;"Udbetaling til konto";3,60;
"Salg";10,00;18-06-2019;12:50;"";0,60;
"Gebyr";-0,60;18-06-2019;23:59;"Gebyr";;
"Overførsel";9,40;18-06-2019;23:59;"Udbetaling til konto";0,60;
"Salg";60,00;19-06-2019;23:26;"";0,60;
"Gebyr";-0,60;19-06-2019;23:59;"Gebyr";;
"Overførsel";59,40;19-06-2019;23:59;"Udbetaling til konto";0,60;
"Salg";15,00;20-06-2019;16:53;"";0,60;
"Gebyr";-0,60;20-06-2019;23:59;"Gebyr";;
"Overførsel";14,40;20-06-2019;23:59;"Udbetaling til konto";0,60;
"Salg";12,00;21-06-2019;22:37;"";0,60;
"Gebyr";-0,60;21-06-2019;23:59;"Gebyr";;
"Overførsel";11,40;21-06-2019;23:59;"Udbetaling til konto";0,60;
