"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";5,00;03-06-2019;11:34;"";0,60;
"Salg";5,00;03-06-2019;11:35;"";0,60;
"Salg";13,00;03-06-2019;11:58;"";0,60;
"Salg";16,00;03-06-2019;12:17;"";0,60;
"Salg";12,00;03-06-2019;12:42;"";0,60;
"Salg";13,00;03-06-2019;13:11;"";0,60;
"Salg";2,00;03-06-2019;14:17;"";0,60;
"Salg";8,00;03-06-2019;14:54;"";0,60;
"Salg";10,00;03-06-2019;15:31;"";0,60;
"Salg";8,00;03-06-2019;15:32;"";0,60;
"Salg";15,00;03-06-2019;15:56;"";0,60;
"Salg";13,00;03-06-2019;15:56;"";0,60;
"Salg";8,00;03-06-2019;16:15;"";0,60;
"Salg";8,00;03-06-2019;16:15;"";0,60;
"Salg";15,00;03-06-2019;16:22;"";0,60;
"Salg";5,00;03-06-2019;17:15;"";0,60;
"Salg";4,00;03-06-2019;17:40;"";0,60;
"Gebyr";-10,20;03-06-2019;23:59;"Gebyr";;
"Overførsel";149,80;03-06-2019;23:59;"Udbetaling til konto";10,20;
"Salg";6,00;04-06-2019;00:21;"";0,60;
"Salg";8,00;04-06-2019;08:34;"";0,60;
"Salg";20,00;04-06-2019;10:09;"";0,60;
"Salg";8,00;04-06-2019;10:14;"";0,60;
"Salg";6,00;04-06-2019;10:16;"";0,60;
"Salg";10,00;04-06-2019;10:27;"";0,60;
"Salg";40,00;04-06-2019;10:50;"";0,60;
"Salg";5,00;04-06-2019;11:20;"";0,60;
"Salg";10,00;04-06-2019;11:40;"";0,60;
"Salg";6,00;04-06-2019;11:59;"";0,60;
"Salg";13,00;04-06-2019;12:09;"";0,60;
"Salg";6,00;04-06-2019;12:31;"";0,60;
"Salg";10,00;04-06-2019;12:48;"";0,60;
"Salg";10,00;04-06-2019;14:55;"";0,60;
"Salg";4,00;04-06-2019;16:59;"";0,60;
"Salg";15,00;04-06-2019;17:52;"";0,60;
"Salg";3,00;04-06-2019;20:38;"";0,60;
"Salg";10,00;04-06-2019;22:41;"";0,60;
"Gebyr";-10,80;04-06-2019;23:59;"Gebyr";;
"Overførsel";179,20;04-06-2019;23:59;"Udbetaling til konto";10,80;
"Salg";15,00;05-06-2019;08:29;"";0,60;
"Salg";15,00;05-06-2019;08:58;"";0,60;
"Salg";13,00;05-06-2019;09:26;"";0,60;
"Salg";13,00;05-06-2019;10:21;"";0,60;
"Salg";13,00;05-06-2019;11:43;"";0,60;
"Salg";10,00;05-06-2019;12:04;"";0,60;
"Salg";20,00;05-06-2019;12:29;"";0,60;
"Salg";10,00;05-06-2019;12:29;"";0,60;
"Salg";3,00;05-06-2019;13:19;"";0,60;
"Salg";5,00;05-06-2019;15:14;"";0,60;
