Report Type,Total Sales,Total Transactions
1,25,1
2,0,0
3,54,4
4,194,13
5,264,17
6,120,9
7,162,11
8,28,2
9,110,7
10,50,4
11,84,6
12,210,15
13,206,15
14,426,33
15,36,3
16,0,0
17,70,5
18,564,37
19,196,14
20,386,23
21,0,0
22,14,1
23,0,0
24,42,3
25,28,2
26,434,31
27,14,1
28,98,7
29,0,0
30,0,0
31,0,0
Total,3815,264
