Report Type,Total Sales,Total Transactions
1,12,1
2,112,6
3,32,2
4,206,15
5,68,6
6,20,1
7,152,14
8,258,21
9,212,16
10,312,24
11,38,3
12,0,0
13,18,3
14,60,10
15,408,38
16,264,20
17,100,7
18,314,22
19,14,1
20,86,5
21,196,12
22,42,3
23,0,0
24,70,5
25,148,9
26,0,0
27,0,0
28,154,9
29,0,0
30,196,11
31,82,5
Total,3574,269
