Report Type,Total Sales,Total Transactions
1,232,12
2,40,2
3,80,4
4,226,12
5,46,3
6,220,13
7,282,16
8,276,17
9,204,13
10,12,1
11,228,12
12,396,25
13,376,24
14,106,7
15,200,11
16,438,25
17,72,4
18,224,13
19,138,10
20,108,7
21,98,6
22,740,45
23,172,9
24,56,4
25,102,7
26,174,11
27,298,19
28,84,6
29,296,20
30,150,9
31,168,11
Total,6242,378
