Report Type,Total Sales,Total Transactions
1,0,0
2,476,34
3,210,15
4,42,3
5,42,3
6,812,58
7,294,21
8,42,3
9,207,14
10,459,32
11,42,3
12,251,16
13,618,43
14,112,8
15,56,4
16,56,4
17,174,12
18,258,18
19,777,53
20,322,23
21,0,0
22,0,0
23,62,4
24,408,27
25,236,16
26,206,13
27,666,45
28,14,1
29,0,0
30,118,8
Total,6960,481
