Report Type,Total Sales,Total Transactions
1,347,19
2,209,12
3,223,14
4,200,14
5,43,2
6,32,2
7,110,6
8,168,12
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,210,15
15,0,0
16,140,10
17,509,34
18,321,20
19,124,7
20,131,7
21,90,7
22,68,5
23,154,11
24,243,18
25,254,19
26,170,13
27,24,2
28,344,26
29,185,14
30,131,9
31,134,10
Total,4564,308
