Report Type,Total Sales,Total Vends
1,56.8,4
2,120.6,8
3,55.64,4
4,153.73,9
5,123.12,9
6,134.34,10
7,191.25,16
8,121.12,11
9,57.12,6
10,228.48,17
11,0,0
12,42.31,3
13,102.1,6
14,148.95,11
15,121.76,8
16,82.3,6
17,47.62,2
18,13.33,1
19,85.78,6
20,78.29,5
21,172.04,12
22,620.92,43
23,751.56,50
24,163.28,10
25,30.48,2
26,71.43,5
27,160.95,11
28,384.78,23
29,11.43,1
30,60.94,4
31,64.75,5
Total,4457.2,308
