Report Type,Total Sales,Total Vends
1,190.9,10
2,447.84,20
3,85.94,6
4,143.5,10
5,0,0
6,71.45,5
7,57.16,4
8,381.95,31
9,370.52,32
10,279.05,21
11,188.57,13
12,173.33,9
13,241.92,16
14,200.94,14
15,455.22,30
16,257.14,18
17,474.37,33
18,556.31,41
19,331.28,23
20,191.24,15
21,170.48,12
22,145.29,11
23,275.3,18
24,427.49,34
25,512.27,41
26,242.93,17
27,0,0
28,342.96,24
29,66.68,4
30,57.16,4
31,71.45,5
Total,7410.64,521
