Report Type,Total Sales,Total Vends
1,0,0
2,25,1
3,0,0
4,75,5
5,188,13
6,213,14
7,163,11
8,126,10
9,646,43
10,81,5
11,105,6
12,102,6
13,25,1
14,120,7
15,144,12
16,108,9
17,144,12
18,352.59,29
19,311.46,24
20,149.54,12
21,45.72,4
22,22.86,2
23,34.29,3
24,70.48,4
25,163.82,10
26,420.89,39
27,188.56,15
28,199.98,13
29,45.7,4
30,13.33,1
31,333.34,29
Total,4617.56,344
