Report Type,Total Sales,Total Vends
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,23.81,1
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,23.81,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,9.52,1
24,85.68,9
25,142.8,15
26,99.97,9
27,123.76,13
28,0,0
29,33.34,2
30,291.44,24
31,78.1,7
Total,912.23,82
