Report Type,Total Sales,Total Vends
1,214,14
2,14,1
3,56,4
4,376,27
5,0,0
6,108,7
7,536,40
8,182,10
9,36,3
10,240,18
11,521,33
12,30,2
13,20,1
14,165,15
15,80,5
16,20,1
17,30,2
18,352,24
19,312,22
20,188,14
21,37,2
22,44,5
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,128,11
29,44,3
30,12,1
31,0,0
Total,3745,265
