Report Type,Total Sales,Total Vends
1,11.43,1
2,171.45,15
3,56.2,4
4,53.32,4
5,9.52,1
6,109.55,7
7,124.79,9
8,105.71,7
9,244.8,17
10,23.81,1
11,56.19,5
12,42.87,3
13,676.26,52
14,23.81,1
15,92.36,8
16,0,0
17,0,0
18,23.81,1
19,0,0
20,0,0
21,0,0
22,243.51,17
23,390.8,37
24,41.15,3
25,13.33,1
26,110.75,7
27,172.23,11
28,100.27,7
29,0,0
30,0,0
31,0,0
Total,2897.92,219
