Report Type,Total Sales,Total Vends
1,40,2
2,386,22
3,28,2
4,0,0
5,28,2
6,0,0
7,0,0
8,0,0
9,14,1
10,42,3
11,682,40
12,338,24
13,26,2
14,44,4
15,152,11
16,108,9
17,54,5
18,22,2
19,458,32
20,24,2
21,54,4
22,162,12
23,960,76
24,408,32
25,402,31
26,402,33
27,42,3
28,0,0
29,68,6
30,1072,86
31,318,28
Total,6334,474
